batch_id,market,index_name,ticker,announce_date,effective_date,event_type,inclusion,running_variable,cutoff,data_mode,note,sector,source
CN-csi300-000066-20200601-20200615-add-01,CN,CSI300,000066,2020-06-01,2020-06-15,addition,1,300.35,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000066-20200601-20200615-add-01,CN,CSI300,002414,2020-06-01,2020-06-15,addition,0,299.85,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000066-20200601-20200615-add-01,CN,CSI300,300450,2020-06-01,2020-06-15,addition,0,299.55,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000066-20200601-20200615-add-01,CN,CSI300,603659,2020-06-01,2020-06-15,addition,0,299.25,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000301,2021-11-26,2021-12-10,addition,1,300.35,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000063,2021-11-26,2021-12-10,addition,0,299.85,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,000625,2021-11-26,2021-12-10,addition,0,299.55,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000301-20211126-20211210-add-01,CN,CSI300,603659,2021-11-26,2021-12-10,addition,0,299.25,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000408-20220527-20220610-add-01,CN,CSI300,000408,2022-05-27,2022-06-10,addition,1,300.35,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000408-20220527-20220610-add-01,CN,CSI300,002756,2022-05-27,2022-06-10,addition,0,299.85,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000408-20220527-20220610-add-01,CN,CSI300,300769,2022-05-27,2022-06-10,addition,0,299.55,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000408-20220527-20220610-add-01,CN,CSI300,600733,2022-05-27,2022-06-10,addition,0,299.25,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000708-20200601-20200615-add-01,CN,CSI300,000708,2020-06-01,2020-06-15,addition,1,300.35,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
CN-csi300-000708-20200601-20200615-add-01,CN,CSI300,000656,2020-06-01,2020-06-15,addition,0,299.85,300.0,demo_pseudo_running_variable,Demo pseudo-ranking data generated from matched controls. Replace this file with actual pre-adjustment ranking data for real RD evidence.,,CSIndex adjustment attachment manual transcription
