market,ticker,yahoo_symbol,sector,shares_outstanding,data_source
CN,000001,,货币金融服务,3105433762.0,tushare
CN,000002,,房地产业,10995210218.0,tushare
CN,000063,,计算机、通信和其他电子设备制造业,1343330310.0,tushare
CN,000066,,计算机、通信和其他电子设备制造业,550189800.0,tushare
CN,000069,,房地产业,2621088126.0,tushare
CN,000100,,Technology,2586331144.0,tushare
CN,000157,,专用设备制造业,1521000000.0,tushare
CN,000166,,资本市场服务,14856744977.0,tushare
CN,000301,,化学原料和化学制品制造业,1218236445.0,tushare
CN,000333,,电气机械和器材制造业,1686323389.0,tushare
CN,000338,,汽车制造业,833045683.0,tushare
CN,000408,,化学原料和化学制品制造业,252301500.0,tushare
CN,000413,,,383000000.0,tushare
CN,000415,,租赁业,300335834.0,tushare
CN,000423,,医药制造业,523763614.0,tushare
CN,000425,,专用设备制造业,545087620.0,tushare
CN,000538,,医药制造业,534051138.0,tushare
CN,000568,,酒、饮料和精制茶制造业,1394239476.0000002,tushare
CN,000596,,酒、饮料和精制茶制造业,235000000.0,tushare
CN,000617,,货币金融服务,239616000.0,tushare
CN,000625,,汽车制造业,2334022848.0,tushare
CN,000629,,有色金属冶炼和压延加工业,4024730701.0,tushare
CN,000630,,有色金属冶炼和压延加工业,1294362109.0,tushare
CN,000651,,电气机械和器材制造业,1252395000.0,tushare
CN,000656,,房地产业,250041847.00000003,tushare
CN,000661,,医药制造业,131326570.0,tushare
CN,000708,,黑色金属冶炼和压延加工业,449408480.0,tushare
CN,000723,,石油、煤炭及其他燃料加工业,139599195.0,tushare
CN,000725,,计算机、通信和其他电子设备制造业,3282902447.0,tushare
CN,000728,,资本市场服务,1464100000.0,tushare
CN,000733,,计算机、通信和其他电子设备制造业,358120000.0,tushare
CN,000768,,铁路、船舶、航空航天和其他运输设备制造业,1126190200.0,tushare
CN,000776,,资本市场服务,2507045732.0,tushare
CN,000783,,资本市场服务,1674800000.0,tushare
CN,000786,,非金属矿物制品业,575150000.0,tushare
CN,000792,,化学原料和化学制品制造业,767550000.0,tushare
CN,000800,,汽车制造业,1627500000.0,tushare
CN,000807,,有色金属冶炼和压延加工业,1053544437.0,tushare
CN,000858,,酒、饮料和精制茶制造业,3795966720.0,tushare
CN,000860,,酒、饮料和精制茶制造业,438540000.0,tushare
CN,000876,,农副食品加工业,756701400.0,tushare
CN,000877,,非金属矿物制品业,312033600.0,tushare
CN,000895,,农副食品加工业,605994900.0,tushare
CN,000898,,黑色金属冶炼和压延加工业,7234807847.0,tushare
CN,000938,,计算机、通信和其他电子设备制造业,206080000.0,tushare
CN,000963,,零售业,434059991.0,tushare
CN,000975,,有色金属矿采选业,622925697.0,tushare
CN,000977,,计算机、通信和其他电子设备制造业,215000000.0,tushare
CN,000983,,煤炭开采和洗选业,2424000000.0,tushare
CN,000999,,医药制造业,978900000.0,tushare
CN,001289,,电力、热力生产和供应业,8381963164.0,tushare
CN,001391,,航空运输业,12010704725.0,tushare
CN,001965,,道路运输业,6178211496.999999,tushare
CN,001979,,房地产业,7401797598.999999,tushare
CN,002001,,医药制造业,342060000.0,tushare
CN,002007,,医药制造业,225080000.0,tushare
CN,002010,,商务服务业,202800000.0,tushare
CN,002024,,零售业,2991008000.0,tushare
CN,002027,,商务服务业,302335116.0,tushare
CN,002028,,电气机械和器材制造业,274800000.0,tushare
CN,002044,,卫生,162500000.0,tushare
CN,002049,,计算机、通信和其他电子设备制造业,135000000.0,tushare
CN,002050,,通用设备制造业,264000000.0,tushare
CN,002064,,化学纤维制造业,369200000.0,tushare
CN,002074,,电气机械和器材制造业,140760000.0,tushare
CN,002081,,建筑装饰、装修和其他建筑业,141000000.0,tushare
CN,002120,,邮政业,150280000.0,tushare
CN,002129,,电气机械和器材制造业,482829608.0,tushare
CN,002142,,货币金融服务,2500000000.0,tushare
CN,002153,,软件和信息技术服务业,112000000.0,tushare
CN,002157,,畜牧业,225890355.00000003,tushare
CN,002179,,计算机、通信和其他电子设备制造业,178500000.0,tushare
CN,002180,,计算机、通信和其他电子设备制造业,83322000.0,tushare
CN,002202,,通用设备制造业,1000000000.0,tushare
CN,002230,,软件和信息技术服务业,107166000.0,tushare
CN,002236,,计算机、通信和其他电子设备制造业,66800000.0,tushare
CN,002241,,计算机、通信和其他电子设备制造业,120000000.0,tushare
CN,002252,,医药制造业,160000000.0,tushare
CN,002271,,非金属矿物制品业,52760000.0,tushare
CN,002294,,医药制造业,113500000.0,tushare
CN,002304,,酒、饮料和精制茶制造业,450000000.0,tushare
CN,002311,,农副食品加工业,224000000.0,tushare
CN,002352,,邮政业,77830780.0,tushare
CN,002371,,专用设备制造业,65000000.0,tushare
CN,002384,,计算机、通信和其他电子设备制造业,160000000.0,tushare
CN,002410,,软件和信息技术服务业,100000000.0,tushare
CN,002411,,,86000000.0,tushare
CN,002414,,计算机、通信和其他电子设备制造业,300000000.0,tushare
CN,002422,,医药制造业,240000000.0,tushare
CN,002456,,计算机、通信和其他电子设备制造业,96000000.0,tushare
CN,002459,,电气机械和器材制造业,171000000.0,tushare
CN,002463,,计算机、通信和其他电子设备制造业,692030326.0,tushare
CN,002466,,有色金属冶炼和压延加工业,98000000.0,tushare
CN,002508,,电气机械和器材制造业,160000000.0,tushare
CN,002555,,互联网和相关服务,67000000.0,tushare
CN,002558,,互联网和相关服务,59500000.0,tushare
CN,002568,,酒、饮料和精制茶制造业,80000000.0,tushare
CN,002600,,计算机、通信和其他电子设备制造业,317800000.0,tushare
CN,002603,,医药制造业,425000000.0,tushare
CN,002624,,互联网和相关服务,100000000.0,tushare
CN,002625,,铁路、船舶、航空航天和其他运输设备制造业,77338000.0,tushare
CN,002648,,化学原料和化学制品制造业,200000000.0,tushare
CN,002673,,资本市场服务,1200000000.0,tushare
CN,002709,,计算机、通信和其他电子设备制造业,120413200.0,tushare
CN,002739,,广播、电视、电影和录音制作业,560000000.0,tushare
CN,002756,,有色金属冶炼和压延加工业,200000000.0,tushare
CN,002773,,医药制造业,445600000.0,tushare
CN,002791,,金属制品业,214360000.0,tushare
CN,002812,,橡胶和塑料制品业,133880000.0,tushare
CN,002821,,医药制造业,112863500.0,tushare
CN,002841,,计算机、通信和其他电子设备制造业,403500000.0,tushare
CN,002920,,计算机、通信和其他电子设备制造业,550000000.0,tushare
CN,002939,,Financial Services,3103405351.0,tushare
CN,002945,,资本市场服务,2700000000.0,tushare
CN,003816,,Utilities,50498611100.0,tushare
CN,300014,,电气机械和器材制造业,88000000.0,tushare
CN,300017,,软件和信息技术服务业,90714286.0,tushare
CN,300024,,通用设备制造业,61500000.0,tushare
CN,300070,,生态保护和环境治理业,147000000.0,tushare
CN,300136,,计算机、通信和其他电子设备制造业,66670000.0,tushare
CN,300142,,医药制造业,100000000.0,tushare
CN,300144,,文化艺术业,168000000.0,tushare
CN,300207,,Industrials,188000000.0,tushare
CN,300223,,计算机、通信和其他电子设备制造业,80000000.0,tushare
CN,300251,,广播、电视、电影和录音制作业,109600000.0,tushare
CN,300308,,计算机、通信和其他电子设备制造业,66670000.0,tushare
CN,300316,,专用设备制造业,133350000.0,tushare
CN,300394,,计算机、通信和其他电子设备制造业,74340000.0,tushare
CN,300418,,互联网和相关服务,280000000.0,tushare
CN,300442,,软件和信息技术服务业,100000000.0,tushare
CN,300450,,专用设备制造业,68000000.0,tushare
CN,300454,,软件和信息技术服务业,400010000.0,tushare
CN,300476,,计算机、通信和其他电子设备制造业,146670000.0,tushare
CN,300496,,软件和信息技术服务业,100000000.0,tushare
CN,300502,,计算机、通信和其他电子设备制造业,77600000.0,tushare
CN,300558,,医药制造业,401000000.0,tushare
CN,300601,,医药制造业,411000000.0,tushare
CN,300628,,计算机、通信和其他电子设备制造业,74670000.0,tushare
CN,300661,,计算机、通信和其他电子设备制造业,60000000.0,tushare
CN,300676,,专业技术服务业,400100000.0,tushare
CN,300677,,橡胶和塑料制品业,97239307.0,tushare
CN,300750,,电气机械和器材制造业,2172437000.0,tushare
CN,300751,,专用设备制造业,52000000.0,tushare
CN,300759,,研究和试验发展,656293575.0,tushare
CN,300760,,专用设备制造业,1215691266.0,tushare
CN,300763,,电气机械和器材制造业,79999952.0,tushare
CN,300769,,计算机、通信和其他电子设备制造业,42745652.0,tushare
CN,300782,,Technology,100000000.0,tushare
CN,300803,,其他金融业,404999999.0,tushare
CN,300832,,医药制造业,411600000.0,tushare
CN,300866,,计算机、通信和其他电子设备制造业,406427207.0,tushare
CN,300888,,纺织业,426492308.0,tushare
CN,300896,,专用设备制造业,120200000.0,tushare
CN,300919,,计算机、通信和其他电子设备制造业,569650000.0,tushare
CN,300957,,化学原料和化学制品制造业,423600000.0,tushare
CN,300979,,皮革、毛皮、羽毛及其制品和制鞋业,1167000000.0,tushare
CN,300999,,农副食品加工业,5421591536.0,tushare
CN,301236,,软件和信息技术服务业,423529412.0,tushare
CN,301269,,软件和信息技术服务业,542941768.0,tushare
CN,302132,,计算机、通信和其他电子设备制造业,80000000.0,tushare
CN,600023,,电力、热力生产和供应业,9105432605.0,tushare
CN,600026,,水上运输业,3404552270.0,tushare
CN,600027,,电力、热力生产和供应业,6021084200.0,tushare
CN,600066,,汽车制造业,519891723.0,tushare
CN,600079,,医药制造业,389085686.0,tushare
CN,600089,,电气机械和器材制造业,1198250482.0,tushare
CN,600100,,计算机、通信和其他电子设备制造业,976970554.0,tushare
CN,600109,,资本市场服务,500121062.0,tushare
CN,600118,,计算机、通信和其他电子设备制造业,293781658.0,tushare
