market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
CN,announce,main_car,car_m1_p1,const,-0.20296590599655065,0.0402676133331216,-5.0404255230494055,4.644978707987899e-07
CN,announce,main_car,car_m1_p1,treatment_group,0.007933033346066109,0.0026649475183714902,2.976806594267893,0.002912676896154116
CN,announce,main_car,car_m1_p1,log_mkt_cap,0.00802812620651871,0.001618528960399174,4.960137509395416,7.044329638153042e-07
CN,announce,main_car,car_m1_p1,pre_event_return,0.07023462635168881,0.010794120846205225,6.506748196763098,7.6794975052853e-11
CN,announce,turnover_mechanism,turnover_change,const,0.014335823798662925,0.004027562307777652,3.559429427318585,0.00037166138768930293
CN,announce,turnover_mechanism,turnover_change,treatment_group,-3.509020043175598e-05,0.0003187605095087383,-0.11008327375883444,0.9123433331371069
CN,announce,turnover_mechanism,turnover_change,log_mkt_cap,-0.0005978086200323853,0.00016235931512966322,-3.682009988493509,0.00023140234218189953
CN,announce,turnover_mechanism,turnover_change,pre_event_return,0.004702300986393369,0.0015709019331807703,2.9933765355244843,0.0027590911705026987
CN,announce,volume_mechanism,volume_change,const,1.8340759164147065,0.38587601982293995,4.753018643802422,2.0040186041633286e-06
CN,announce,volume_mechanism,volume_change,treatment_group,0.021201113320762785,0.02777459574443389,0.763327521157947,0.44526809293031033
CN,announce,volume_mechanism,volume_change,log_mkt_cap,-0.07522343511851694,0.015495141610666395,-4.85464650847304,1.2060167928972248e-06
CN,announce,volume_mechanism,volume_change,pre_event_return,0.3918411686588495,0.10188460207849678,3.8459311874914746,0.00012009546646007378
CN,announce,volatility_mechanism,volatility_change,const,0.011598165565176911,0.013466816764351231,0.8612403189355831,0.38910569813472373
CN,announce,volatility_mechanism,volatility_change,treatment_group,0.00010906169827937272,0.0009397188046802676,0.11605780126585863,0.9076067324575208
CN,announce,volatility_mechanism,volatility_change,log_mkt_cap,-0.0006308448927717708,0.000541615526485902,-1.1647466919288758,0.24412154280016185
CN,announce,volatility_mechanism,volatility_change,pre_event_return,0.0036240461684571403,0.004148437692458603,0.8735930094949363,0.38233993449016457
CN,effective,main_car,car_m1_p1,const,0.13933702675394344,0.04867730869924358,2.862463650462842,0.004203614750292258
CN,effective,main_car,car_m1_p1,treatment_group,-0.001363362598698981,0.003197641241275735,-0.4263650909615652,0.6698418345486168
CN,effective,main_car,car_m1_p1,log_mkt_cap,-0.005537269836032284,0.0019639419857605633,-2.819467110627456,0.0048103460297663145
CN,effective,main_car,car_m1_p1,pre_event_return,0.10855224624902005,0.013435201663060907,8.079688639693174,6.493234568888386e-16
CN,effective,turnover_mechanism,turnover_change,const,0.02136336716171603,0.005746312761071931,3.717752243915602,0.00020100325128204742
CN,effective,turnover_mechanism,turnover_change,treatment_group,0.0011253789461266107,0.0004592993867193559,2.4502078136112275,0.014277378624668583
CN,effective,turnover_mechanism,turnover_change,log_mkt_cap,-0.0008416313868963911,0.00023121820857745893,-3.639987490926527,0.00027265128616748684
