market,inclusion,event_phase,announce_year,n_events,mean_car_m1_p1,mean_car_m3_p3,mean_car_m5_p5,se_car_m1_p1,ci_low_95_car_m1_p1,ci_high_95_car_m1_p1,se_car_m3_p3,ci_low_95_car_m3_p3,ci_high_95_car_m3_p3,se_car_m5_p5,ci_low_95_car_m5_p5,ci_high_95_car_m5_p5
CN,0,announce,2020,21,0.030892502728682724,0.02392066573592534,0.028638074415698093,0.005332260662449627,0.020441271830281455,0.04134373362708399,0.008033237175389776,0.008175520872161376,0.0396658105996893,0.007881566159966536,0.013190204742163683,0.044085944089232505
CN,0,announce,2021,28,-0.02190586483891916,-0.008347193998598275,-0.005451403387312257,0.004600573260959824,-0.030922988430400415,-0.012888741247437906,0.006331797405637377,-0.020757516913647533,0.004063128916450984,0.01308079850251921,-0.031089768452249908,0.02018696167762539
CN,0,announce,2022,28,-0.006688305141630072,-0.013598719398050707,0.0022996074945755497,0.005346660824381033,-0.017167760357416895,0.003791150074156753,0.009138793469767554,-0.03151075459879511,0.0043133158026936996,0.011654918446865833,-0.02054403266128148,0.02514324765043258
CN,0,announce,2023,14,-0.012691700912365886,-0.027283531540070263,-0.02743584178339204,0.005775126213448075,-0.024010948290724116,-0.0013724535340076584,0.013166922760713991,-0.05309070015106969,-0.0014763629290708395,0.019483966327398076,-0.06562441578509226,0.010752732218308185
CN,0,announce,2024,19,-0.01343958009878589,-0.03149153612999116,-0.0506973045199707,0.007163177214973344,-0.027479407440133646,0.0006002472425618646,0.008918648994442124,-0.04897208815909772,-0.014010984100884596,0.01207666212647898,-0.0743675622878695,-0.027027046752071897
CN,0,announce,2025,11,-0.006809295086773937,-0.024015510903151616,-0.042304389381078146,0.0049464926679916605,-0.01650442071603759,0.002885830542489717,0.008900042608126638,-0.04145959441507983,-0.006571427391223406,0.0183854840539635,-0.07833993812684661,-0.0062688406353096846
CN,0,effective,2020,21,0.030892502728682724,0.02392066573592534,0.028638074415698093,0.005332260662449627,0.020441271830281455,0.04134373362708399,0.008033237175389776,0.008175520872161376,0.0396658105996893,0.007881566159966536,0.013190204742163683,0.044085944089232505
CN,0,effective,2021,28,0.0025884115461040783,0.013058865243692017,0.02718225579431006,0.011329275528926108,-0.019616968490591094,0.02479379158279925,0.012691609660380573,-0.011816689690653904,0.03793442017803794,0.01783574105218326,-0.007775796667969129,0.062140308256589255
CN,0,effective,2022,28,0.010217550357285554,0.010156859352869549,0.008613927511131002,0.007613876390014716,-0.00470564736714329,0.025140748081714397,0.013305196979923174,-0.01592132672777987,0.03623504543351897,0.012066242225669082,-0.015035907251180397,0.0322637622734424
CN,0,effective,2023,14,-0.022909926622005864,-0.011461318294790865,-0.008502158026888815,0.005229446742352371,-0.03315964223701651,-0.012660211006995218,0.00925469488347911,-0.02960052026640992,0.0066778836768281915,0.012762914942249135,-0.03351747131369712,0.01651315525991949
