batch_id,market,index_name,announce_date,effective_date,n_candidates,n_included,n_excluded,n_left_of_cutoff,n_right_of_cutoff,min_running_variable,max_running_variable,closest_left_distance,closest_right_distance,n_unique_cutoffs,n_unique_announce_dates,n_unique_effective_dates,duplicate_ticker_rows,has_cutoff_crossing,has_treated_and_control
csi300-2020-11,CN,CSI300,2020-11-27,2020-12-11,41,26,15,15,26,299.85,300.26,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2021-05,CN,CSI300,2021-05-28,2021-06-11,40,25,15,15,25,299.85,300.25,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2021-11,CN,CSI300,2021-11-26,2021-12-10,43,28,15,15,28,299.85,300.28,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2022-05,CN,CSI300,2022-05-27,2022-06-10,43,28,15,15,28,299.85,300.28,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2022-11,CN,CSI300,2022-11-25,2022-12-09,30,15,15,15,15,299.85,300.15,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2023-05,CN,CSI300,2023-05-26,2023-06-09,24,9,15,15,9,299.85,300.09,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2023-11,CN,CSI300,2023-11-24,2023-12-08,29,14,15,15,14,299.85,300.14,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2024-05,CN,CSI300,2024-05-31,2024-06-14,27,12,15,15,12,299.85,300.12,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2024-11,CN,CSI300,2024-11-29,2024-12-13,31,16,15,15,16,299.85,300.16,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2025-05,CN,CSI300,2025-05-30,2025-06-13,22,7,15,15,7,299.85,300.07,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
csi300-2025-11,CN,CSI300,2025-11-28,2025-12-12,26,11,15,15,11,299.85,300.11,-0.009999999999990905,0.009999999999990905,1,1,1,0,True,True
