market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
CN,announce,main_car,car_m1_p1,const,-0.13271866884407846,0.035049125643457954,-3.7866470677236674,0.0001526937373491462
CN,announce,main_car,car_m1_p1,treatment_group,0.010076518670542796,0.0025960782026462777,3.881438802679916,0.0001038402841573192
CN,announce,main_car,car_m1_p1,log_mkt_cap,0.005110953776533743,0.0014035149921734621,3.641538426760228,0.0002710136625033076
CN,announce,main_car,car_m1_p1,pre_event_return,0.05907608237838081,0.011226545577200247,5.262178109209049,1.423587568699383e-07
CN,announce,turnover_mechanism,turnover_change,const,0.011229450263452432,0.0037496985692403255,2.9947607937262744,0.002746601457074702
CN,announce,turnover_mechanism,turnover_change,treatment_group,-0.000215826513443,0.0003129026574524978,-0.6897560896419197,0.49034758653124977
CN,announce,turnover_mechanism,turnover_change,log_mkt_cap,-0.0004622709910802559,0.00015091598773050072,-3.063101517817712,0.0021905573295772206
CN,announce,turnover_mechanism,turnover_change,pre_event_return,0.003434852213017234,0.0017288383919485224,1.9867977417749927,0.04694481498274002
CN,announce,volume_mechanism,volume_change,const,1.823689818482657,0.3674757128049381,4.962749250997985,6.950228693781971e-07
CN,announce,volume_mechanism,volume_change,treatment_group,-0.01338502118993697,0.028518605174834243,-0.4693434727217428,0.6388241462476884
CN,announce,volume_mechanism,volume_change,log_mkt_cap,-0.07329567124120157,0.014699008650751735,-4.986436363342985,6.150315115926177e-07
CN,announce,volume_mechanism,volume_change,pre_event_return,0.33214016492028203,0.11735939966991435,2.8301113149390775,0.004653181160981604
CN,announce,volatility_mechanism,volatility_change,const,0.0009412735832443758,0.012498618628703925,0.0753102091684498,0.9399678988101698
CN,announce,volatility_mechanism,volatility_change,treatment_group,-0.0007059417026383305,0.0009450604135379848,-0.7469805025432447,0.45507533014686397
CN,announce,volatility_mechanism,volatility_change,log_mkt_cap,-0.00017191873843953886,0.0005012187234170488,-0.3430014291315501,0.7315973850152823
CN,announce,volatility_mechanism,volatility_change,pre_event_return,0.007333073386419227,0.004661980702661409,1.5729523252279785,0.11572985775986498
CN,effective,main_car,car_m1_p1,const,0.08820573353849225,0.043920735500832316,2.008293634718861,0.04461209789996412
CN,effective,main_car,car_m1_p1,treatment_group,-0.005039022023552442,0.003186730017568919,-1.5812516265173266,0.11382051529463788
CN,effective,main_car,car_m1_p1,log_mkt_cap,-0.0033297397250413386,0.0017666678971078825,-1.8847570222407264,0.05946264984169558
CN,effective,main_car,car_m1_p1,pre_event_return,0.12470804530378071,0.013996138689727693,8.910175018150454,5.095206712512003e-19
CN,effective,turnover_mechanism,turnover_change,const,0.01939817044097822,0.005215567986392545,3.719282442792077,0.0001997895467575456
CN,effective,turnover_mechanism,turnover_change,treatment_group,0.001612709846048035,0.0004495369587445697,3.5874911165299515,0.0003338751041969308
CN,effective,turnover_mechanism,turnover_change,log_mkt_cap,-0.0007816579979199708,0.0002094933812588466,-3.731182308591253,0.0001905832387610075
CN,effective,turnover_mechanism,turnover_change,pre_event_return,-6.926552080935072e-05,0.0020008475644968265,-0.03461808987271333,0.9723842765126222
CN,effective,volume_mechanism,volume_change,const,2.0430540940637902,0.41310648097106306,4.945587126256924,7.591470681805666e-07
CN,effective,volume_mechanism,volume_change,treatment_group,0.07612125834534067,0.02562234620249255,2.970893365648754,0.0029693486253065376
CN,effective,volume_mechanism,volume_change,log_mkt_cap,-0.08153450997251581,0.01651464576982681,-4.9371031694475676,7.929152989887685e-07
CN,effective,volume_mechanism,volume_change,pre_event_return,-0.03815031624533168,0.11680075164223916,-0.3266273179661219,0.7439497790851578
CN,effective,volatility_mechanism,volatility_change,const,0.04074232163295119,0.014989558754664848,2.7180467617348585,0.006566855654177891
CN,effective,volatility_mechanism,volatility_change,treatment_group,-0.0018055030265486816,0.001013724250428533,-1.7810593223802615,0.07490276008489187
CN,effective,volatility_mechanism,volatility_change,log_mkt_cap,-0.0015812785077715524,0.0006009078052264448,-2.6314827233366804,0.008501318939869999
CN,effective,volatility_mechanism,volatility_change,pre_event_return,0.02003924588229589,0.0053609356660565145,3.7380127519860147,0.00018548054122491321
