event_id,matched_to_event_id,market,index_name,event_ticker,security_name,event_phase,event_type,inclusion,treatment_group,batch_id,announce_date,effective_date,event_date,sector,car_p0_p5,car_p0_p20,car_p0_p60,car_p0_p120,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
CN-csi300-000066-20200601-20200615-add-01,,CN,CSI300,000066,中国长城,announce,addition,1,1,csi300-2020-06,2020-06-01,2020-06-15,2020-06-01,计算机、通信和其他电子设备制造业,-0.06197,-0.09090899999999968,0.0868750000000008,-0.13763199999999912,0.1967949873920649,24.417230827471222,-0.0013400666666666464,-0.03965381392042033,-0.0165948699883892
CN-csi300-000066-20200601-20200615-add-01,,CN,CSI300,000066,中国长城,effective,addition,1,1,csi300-2020-06,2020-06-01,2020-06-15,2020-06-15,计算机、通信和其他电子设备制造业,0.008482000000000201,0.0562550000000005,0.11448100000000072,-0.03187899999999931,-0.021059359503101338,24.357970896761138,-0.003845100000000004,-0.18511498755843192,0.0001953083617196351
CN-csi300-000069-20240531-20240614-del-01,,CN,CSI300,000069,华侨城A,announce,deletion,0,1,csi300-2024-05,2024-05-31,2024-06-14,2024-05-31,房地产业,-0.0866340000000001,-0.1829250000000001,-0.24594099999999994,0.0931470000000004,-0.018311504034125514,23.78574215491683,0.002215266666666634,0.24220146784733743,0.011307355716578931
CN-csi300-000069-20240531-20240614-del-01,,CN,CSI300,000069,华侨城A,effective,deletion,0,1,csi300-2024-05,2024-05-31,2024-06-14,2024-06-14,房地产业,-0.051863999999999896,-0.045889000000000096,-0.0437649999999999,0.24982900000000022,-0.1976938190804043,23.591317575946718,0.0012951000000000074,0.09373945426437658,-0.012589465549080898
CN-csi300-000301-20211126-20211210-add-01,,CN,CSI300,000301,东方盛虹,announce,addition,1,1,csi300-2021-11,2021-11-26,2021-12-10,2021-11-26,化学原料和化学制品制造业,0.03788000000000001,-0.1156249999999998,-0.12658300000000022,-0.13952300000000045,-0.1681263648155863,25.43026386731549,-0.0008958999999999703,-0.03151458907805349,-0.0033798673663034406
CN-csi300-000301-20211126-20211210-add-01,,CN,CSI300,000301,东方盛虹,effective,addition,1,1,csi300-2021-11,2021-11-26,2021-12-10,2021-12-10,化学原料和化学制品制造业,0.0702740000000001,-0.12355299999999993,-0.18578200000000067,-0.0037290000000004264,0.06503460554810725,25.461644047957606,-0.0011733999999999772,-0.04206068463868817,-0.013696943964737696
CN-csi300-000408-20220527-20220610-add-01,,CN,CSI300,000408,藏格矿业,announce,addition,1,1,csi300-2022-05,2022-05-27,2022-06-10,2022-05-27,化学原料和化学制品制造业,0.0057559999999999,-0.004076000000000016,0.11285999999999996,0.14177900000000004,0.3211770309524724,24.58615541167491,-0.0079327,-0.6539537208138455,-0.017581604794650468
CN-csi300-000408-20220527-20220610-add-01,,CN,CSI300,000408,藏格矿业,effective,addition,1,1,csi300-2022-05,2022-05-27,2022-06-10,2022-06-10,化学原料和化学制品制造业,0.0144420000000001,0.0886350000000001,-0.0047189999999995924,0.030845000000000337,0.25247749504653294,24.67261329331624,-0.0003281333333333327,-0.028954646968081477,0.0009964405320012013
CN-csi300-000413-20200601-20200615-del-01,,CN,CSI300,000413,东旭光电,announce,deletion,0,1,csi300-2020-06,2020-06-01,2020-06-15,2020-06-01,,0.015529999999999898,-0.1394089999999997,-0.03532499999999929,-0.2742319999999992,0.037289642260849964,23.487872337539287,0.009831933333333332,0.601046364034346,0.023190146504796776
CN-csi300-000413-20200601-20200615-del-01,,CN,CSI300,000413,东旭光电,effective,deletion,0,1,csi300-2020-06,2020-06-01,2020-06-15,2020-06-15,,-0.028017999999999797,-0.0794449999999994,0.04618100000000061,-0.1768789999999994,-0.031485397301255325,23.48425569708051,-0.0039632999999999596,-0.2767756204476264,-0.005826383163273842
