market,event_phase,relative_day,n_events,car_mean,car_se,car_t
CN,announce,-20,137,-0.005104751824817532,0.002470883317977296,-2.065962317069817
CN,announce,-19,137,0.007245379562043771,0.0036004046600627117,2.0123792312605135
CN,announce,-18,137,0.008338656934306575,0.004660317969736706,1.789289269199304
CN,announce,-17,137,0.00999477372262775,0.004861333457529252,2.0559736973294447
CN,announce,-16,137,0.01016598540145986,0.005874729937983945,1.73046003965734
CN,announce,-15,137,0.005686934306569369,0.006218358255474758,0.9145395091320907
CN,announce,-14,137,0.008126970802919745,0.007125656219974251,1.1405224377985939
CN,announce,-13,137,0.0145228248175183,0.007268130685177307,1.9981513055531988
CN,announce,-12,137,0.017333941605839478,0.007792090085226318,2.2245561096251136
CN,announce,-11,137,0.01324635036496354,0.007870725414810546,1.6829897711890118
CN,announce,-10,137,0.011255372262773778,0.007770418048071791,1.4484899259141881
CN,announce,-9,137,0.012235671532846751,0.008544698100407346,1.4319606601739912
CN,announce,-8,137,0.016137204379562058,0.00900704922601087,1.7916194276989714
CN,announce,-7,137,0.017428664233576665,0.00883403790509163,1.9728989643038994
CN,announce,-6,137,0.02117684671532848,0.009258411395960172,2.287308892383937
CN,announce,-5,137,0.02038062773722629,0.009396104929837284,2.169050674658571
CN,announce,-4,137,0.030558153284671534,0.009903059230987587,3.0857286189960624
CN,announce,-3,137,0.025225948905109496,0.009532192664788044,2.646395199112398
CN,announce,-2,137,0.02476238686131388,0.00966408807291451,2.5623097259135386
CN,announce,-1,137,0.02749536496350368,0.009749590220544417,2.8201559595361476
CN,announce,0,137,0.030480963503649663,0.009592566054593741,3.177560970669863
CN,announce,1,137,0.04546035036496353,0.00960952193317081,4.730760872509209
CN,announce,2,137,0.045741394160583974,0.009754704644108454,4.68916239183217
CN,announce,3,137,0.045884868613138716,0.01015306328604672,4.519312774913749
CN,announce,4,137,0.049218197080291994,0.010706540792085615,4.5970213943120255
CN,announce,5,137,0.054543656934306586,0.011436920072966063,4.769086133882649
CN,announce,6,137,0.05459756204379562,0.011407087715734043,4.786284054648587
CN,announce,7,137,0.055048802919708026,0.011346130912668083,4.851768708066414
CN,announce,8,137,0.05770387591240877,0.01137082142927381,5.0747323991784805
CN,announce,9,137,0.05103960583941606,0.01202756128221425,4.243554004159667
CN,announce,10,137,0.06461018978102188,0.012553518192088263,5.1467794758717
CN,announce,11,137,0.059057226277372275,0.012599520100814299,4.687259975366478
CN,announce,12,137,0.05023840875912411,0.011942698206693353,4.206621308656004
CN,announce,13,137,0.05178181021897816,0.012199212960664865,4.244684504315434
CN,announce,14,137,0.05210934306569351,0.012601690138836228,4.135107473012809
CN,announce,15,137,0.05207591240875921,0.012842406293720666,4.054996487241016
CN,announce,16,137,0.04635829197080302,0.01305087826950048,3.552120479059328
CN,announce,17,137,0.047208255474452655,0.013327424892283177,3.54218882162203
CN,announce,18,137,0.04787450364963513,0.013907255127806547,3.442412123001435
CN,announce,19,137,0.05302075912408772,0.014125020448882803,3.7536766276526925
CN,announce,20,137,0.045600328467153436,0.014299825576828058,3.1888730545808768
CN,effective,-20,137,-0.0024889124087591583,0.0021697633345901203,-1.1470893479861144
CN,effective,-19,137,-0.005836379562043814,0.002890659264953171,-2.0190479150569707
CN,effective,-18,137,-0.0011174306569343498,0.003255573261687572,-0.3432362189739554
CN,effective,-17,137,0.002759912408759078,0.0036077547874730042,0.7649944553721224
CN,effective,-16,137,0.003730248175182437,0.004088602174153273,0.9123529304865546
CN,effective,-15,137,0.007118620437956147,0.005105206701077522,1.3943843716364448
CN,effective,-14,137,0.010079875912408701,0.005356236059886029,1.8818953831962333
CN,effective,-13,137,0.01348882481751819,0.005448897636305313,2.475514446746781
CN,effective,-12,137,0.011972496350364908,0.006269911936281155,1.9095158707230746
CN,effective,-11,137,0.011070306569343042,0.006368170658341823,1.7383809516539535
CN,effective,-10,137,0.015045423357664197,0.006383217470258976,2.357028164521204
CN,effective,-9,137,0.025063532846715295,0.006509122881524123,3.8505238421381014
CN,effective,-8,137,0.030111452554744494,0.006683616310327876,4.5052634915943175
CN,effective,-7,137,0.02861219708029194,0.006898926907457078,4.147340226110368
CN,effective,-6,137,0.030742795620437913,0.006945111866240928,4.426537140441711
CN,effective,-5,137,0.03549808029197076,0.007185088406550483,4.9405210184481465
CN,effective,-4,137,0.04146035036496344,0.007874015032908594,5.26546497456309
CN,effective,-3,137,0.039872029197080223,0.008066876867009872,4.942684740874133
CN,effective,-2,137,0.04318528467153278,0.007916379200057944,5.4551814131410845
CN,effective,-1,137,0.03970621167883206,0.008390062615913619,4.732528646868547
CN,effective,0,137,0.04828915328467147,0.008799932351491187,5.487445966160031
CN,effective,1,137,0.04813272992700723,0.009466584569142882,5.084487396214666
CN,effective,2,137,0.03872552554744521,0.009255059668684952,4.184254551969594
CN,effective,3,137,0.0340992408759124,0.00896528278173867,3.803476332656114
CN,effective,4,137,0.03472573722627739,0.008920715597212196,3.892707580222544
CN,effective,5,137,0.03815503649635039,0.009316158924257299,4.095575956417272
CN,effective,6,137,0.03473177372262778,0.009916706733967119,3.502349585842148
CN,effective,7,137,0.03039552554744529,0.009582979425810798,3.1718241474648248
CN,effective,8,137,0.03138118978102193,0.01004371629077272,3.1244599979244936
CN,effective,9,137,0.035829189781021946,0.010475700730373596,3.420218914534051
CN,effective,10,137,0.03175659124087601,0.010830872130740288,2.9320437779654083
CN,effective,11,137,0.026610715328467215,0.010697233445242997,2.487625932880885
CN,effective,12,137,0.028495116788321225,0.010590049811390674,2.6907443586971453
CN,effective,13,137,0.028567167883211717,0.010386374062874659,2.750446663125969
CN,effective,14,137,0.02648591970802924,0.010860112487116854,2.4388255406607424
CN,effective,15,137,0.030290270072992752,0.011225046745973088,2.6984538023290807
CN,effective,16,137,0.033570963503649666,0.011856635600716777,2.8314072080970574
CN,effective,17,137,0.0348587664233577,0.012351093568951602,2.822322268773535
CN,effective,18,137,0.03974437956204385,0.01264281083641771,3.143634756248972
CN,effective,19,137,0.035049182481751893,0.01344163007721527,2.6075098243600157
CN,effective,20,137,0.02798834306569349,0.013066312795638592,2.142023040733858
US,announce,-20,318,0.0033214995407580706,0.001279317546479993,2.5963057802944114
US,announce,-19,318,0.006365427992975872,0.0018362461086853363,3.466544033976585
US,announce,-18,318,0.00794326710960271,0.0023674045925053335,3.3552638762082716
US,announce,-17,318,0.010418281111240421,0.0025846900689052875,4.030766100963491
US,announce,-16,318,0.014983884355230903,0.002823990790905407,5.3059253604813925
US,announce,-15,318,0.015483174298392733,0.0029826179689933004,5.191135592741918
US,announce,-14,318,0.019070806967504766,0.0032379904446634303,5.889704523043169
US,announce,-13,318,0.02241351827889618,0.003406485690319104,6.579660188385112
US,announce,-12,318,0.023729600630931796,0.0037704312880800462,6.29360378637618
US,announce,-11,318,0.024994592663263336,0.004274088566610656,5.8479351266892445
US,announce,-10,318,0.02764907645367834,0.0047334353368714745,5.841228301631933
US,announce,-9,318,0.02932272120191784,0.0045649813132367404,6.423404432542342
US,announce,-8,318,0.02734622562913312,0.004625994647631198,5.91142612824598
US,announce,-7,318,0.02864099997354088,0.004706650529048237,6.085219158885069
US,announce,-6,318,0.028812440143959,0.005021741818270495,5.7375391222088155
US,announce,-5,318,0.027945255285782913,0.00504641553563434,5.537644509940295
US,announce,-4,318,0.02908813783247984,0.005146954805172315,5.651523849257114
US,announce,-3,318,0.02855017182292183,0.004998811840817006,5.7113915730534055
US,announce,-2,318,0.0296485865180511,0.005044041597484573,5.877942508015127
US,announce,-1,318,0.03340934165725377,0.00537686439060605,6.21353622301195
US,announce,0,318,0.03274981832571211,0.005530527019759748,5.9216451178525835
US,announce,1,318,0.04744895540708948,0.006345454464359576,7.477629171179992
US,announce,2,318,0.042503630356902466,0.006496434105403145,6.542609324945173
US,announce,3,318,0.04214947460684861,0.006751443819574268,6.243031229060345
US,announce,4,318,0.041592602181870164,0.006981419753257436,5.957613730711954
US,announce,5,318,0.04041937357347322,0.007118351416687056,5.678193054464956
US,announce,6,318,0.0401600763582238,0.007172740268491044,5.598986559522031
US,announce,7,318,0.038038516515547585,0.007512241906717321,5.063537222028777
US,announce,8,318,0.035795789492317556,0.007536862605800108,4.749428424603409
US,announce,9,318,0.03514510030901338,0.007677521248882785,4.5776623951548965
US,announce,10,318,0.03391550577025326,0.007677145013641084,4.417723738445831
US,announce,11,318,0.03055975079897161,0.007534501028013677,4.055975397089844
US,announce,12,318,0.03043943245650615,0.007491794220551631,4.063036378255576
US,announce,13,318,0.028532040503351848,0.007606379974568379,3.7510669462671546
US,announce,14,318,0.03079832156026305,0.007960881878981727,3.868707264904482
US,announce,15,318,0.032083565677144515,0.00796551718895567,4.0278069729896435
US,announce,16,318,0.03420597985652934,0.008206389646590923,4.1682129815440945
US,announce,17,318,0.035928149272579535,0.008422888795346976,4.265537649318983
US,announce,18,318,0.03875878457162378,0.008234253281415315,4.707018748026885
US,announce,19,318,0.036326048570717515,0.008128206341576023,4.469134645968406
US,announce,20,318,0.034752322518579154,0.008290839051382535,4.191653257674089
US,effective,-20,318,0.0016084801276358893,0.0011837147003924138,1.358841051059568
US,effective,-19,318,0.004023803794584865,0.0016467375745049695,2.443500322626981
US,effective,-18,318,0.007211342704832593,0.002162287367105858,3.3350528771227617
US,effective,-17,318,0.008835015002297004,0.0022328463896176347,3.9568395942409467
US,effective,-16,318,0.010700781237416367,0.002609282296225251,4.101043897357054
US,effective,-15,318,0.011349636729315913,0.002868928348966591,3.9560544387259218
US,effective,-14,318,0.012427581033776485,0.003193694268921762,3.8912870135099746
US,effective,-13,318,0.01504753428674781,0.00357467983857537,4.2094774822532806
US,effective,-12,318,0.013925273941235935,0.003712442156366269,3.750973982815119
US,effective,-11,318,0.015398988161249958,0.004004601707800029,3.8453232767833883
US,effective,-10,318,0.019672938991370858,0.0043089194043782935,4.565631692108509
US,effective,-9,318,0.022575478081684586,0.004396277125070977,5.135135351896205
US,effective,-8,318,0.021488551440131697,0.004664792177155992,4.6065399323390075
US,effective,-7,318,0.02379503923414379,0.004837091138312332,4.919286933767784
US,effective,-6,318,0.024565272184827763,0.004720368040559618,5.204101030629691
US,effective,-5,318,0.025300519375343212,0.004669081371562598,5.418736012920655
US,effective,-4,318,0.027389854337007413,0.004892358431355477,5.598497068706959
US,effective,-3,318,0.029596855088599744,0.005294485075285721,5.5901290999488795
US,effective,-2,318,0.03156375697079874,0.005577472600757253,5.659150520347394
US,effective,-1,318,0.030827670039790565,0.005775966154282594,5.337231766313826
US,effective,0,318,0.03290180951671966,0.005972307582400444,5.509061457865414
US,effective,1,318,0.02968297803234562,0.0060061335126318114,4.942110922096188
US,effective,2,318,0.027541037200251067,0.006233085835244268,4.418523653969825
US,effective,3,318,0.025689754441643703,0.006295600594584318,4.080588349861786
US,effective,4,318,0.02562889300014989,0.006379346720451986,4.017479237801021
US,effective,5,318,0.02368126356724964,0.006686884967308864,3.541449222324541
US,effective,6,318,0.021669650379283565,0.006662415130857306,3.252521788820919
US,effective,7,318,0.02135722194607627,0.0066560570487443575,3.208689737733729
US,effective,8,318,0.021689988554782595,0.0068465113256571805,3.168035152954432
US,effective,9,318,0.020931360459737192,0.0070482256236213976,2.9697347357309205
US,effective,10,318,0.020389881811110767,0.007057697467035949,2.889027463467344
US,effective,11,318,0.019557528682731737,0.007162261307420443,2.7306360160958114
US,effective,12,318,0.020752676741587515,0.007242215097586691,2.865515103038418
US,effective,13,318,0.019735198132173306,0.00748919859969638,2.6351548659656845
US,effective,14,318,0.02102269869092607,0.007537696667895289,2.789008316090295
US,effective,15,318,0.01955614440013637,0.007358326663427149,2.6576890772375785
US,effective,16,315,0.01727775251083765,0.0072469225989740425,2.384150275495379
US,effective,17,315,0.01899797028789123,0.007225109513763525,2.6294370004635788
US,effective,18,315,0.018862844061044843,0.007236507942542908,2.606622449780169
US,effective,19,315,0.01770489591522182,0.007431118983852877,2.382534306568485
US,effective,20,315,0.0192541205027007,0.007311350133483897,2.633456222336053
