event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
CN-csi300-000066-20200601-20200615-add-01,CN,000066,2020-06-01,2020-06-15,计算机、通信和其他电子设备制造业,csi300-2020-06,14,0.18741799999999986,-0.028249000000000003,-0.07536499999999981,-0.0103519999999998,0.038706000000000296
CN-csi300-000301-20211126-20211210-add-01,CN,000301,2021-11-26,2021-12-10,化学原料和化学制品制造业,csi300-2021-11,14,-0.17206499999999988,0.0481200000000001,-0.0265559999999998,0.030202,-0.17122099999999998
CN-csi300-000408-20220527-20220610-add-01,CN,000408,2022-05-27,2022-06-10,化学原料和化学制品制造业,csi300-2022-05,14,0.24561500000000008,0.0030279999999998997,0.0340650000000001,0.037107,0.06868799999999989
CN-csi300-000630-20241129-20241213-add-02,CN,000630,2024-11-29,2024-12-13,有色金属冶炼和压延加工业,csi300-2024-11,14,-0.03529400000000021,0.043331,-0.0315420000000002,-0.015859,0.0006400000000000988
CN-csi300-000708-20200601-20200615-add-01,CN,000708,2020-06-01,2020-06-15,黑色金属冶炼和压延加工业,csi300-2020-06,14,-0.032582000000000014,-0.006748999999999901,0.093135,0.0454479999999999,-0.02199399999999941
CN-csi300-000792-20220527-20220610-add-01,CN,000792,2022-05-27,2022-06-10,化学原料和化学制品制造业,csi300-2022-05,14,0.1384149999999999,0.031728,-0.1103349999999995,-0.021792999999999903,0.002488000000000108
CN-csi300-000807-20240531-20240614-add-01,CN,000807,2024-05-31,2024-06-14,有色金属冶炼和压延加工业,csi300-2024-05,14,0.027169999999999694,-0.018546,-0.027458000000000204,-0.069685,0.0526729999999995
CN-csi300-000860-20200601-20200615-add-01,CN,000860,2020-06-01,2020-06-15,酒、饮料和精制茶制造业,csi300-2020-06,14,-0.0127819999999998,-0.0513489999999999,-0.0164649999999998,-0.0319520000000001,0.11010600000000029
CN-csi300-000877-20220527-20220610-add-01,CN,000877,2022-05-27,2022-06-10,非金属矿物制品业,csi300-2022-05,14,-0.013785000000000002,0.0032279999999999982,-0.03813499999999989,-0.007892999999999997,-0.01501199999999981
CN-csi300-000975-20241129-20241213-add-01,CN,000975,2024-11-29,2024-12-13,有色金属矿采选业,csi300-2024-11,14,-0.109194,0.007931000000000101,-0.03404200000000011,-0.020159,0.07563999999999971
CN-csi300-000977-20200601-20200615-add-01,CN,000977,2020-06-01,2020-06-15,计算机、通信和其他电子设备制造业,csi300-2020-06,14,0.004917999999999898,0.0042510000000001,-0.0002649999999999944,-0.016952000000000102,-0.08549399999999971
CN-csi300-000999-20231124-20231208-add-01,CN,000999,2023-11-24,2023-12-08,医药制造业,csi300-2023-11,14,0.09967700000000008,0.044744000000000006,0.04925199999999949,0.026552999999999702,0.05036400000000029
CN-csi300-001289-20220527-20220610-add-01,CN,001289,2022-05-27,2022-06-10,电力、热力生产和供应业,csi300-2022-05,14,0.02381499999999979,0.0010279999999999005,-0.13063500000000008,-0.0461929999999999,-0.020312000000000004
CN-csi300-001391-20250530-20250613-add-01,CN,001391,2025-05-30,2025-06-13,航空运输业,csi300-2025-05,14,0.0029300000000003074,0.004461999999999899,-0.05580399999999949,-0.0248669999999998,-0.018484999999999807
CN-csi300-001965-20240531-20240614-add-01,CN,001965,2024-05-31,2024-06-14,道路运输业,csi300-2024-05,14,0.07426999999999989,0.0032539999999998993,0.004542000000000194,-0.0646849999999999,0.04977299999999981
CN-csi300-002028-20241129-20241213-add-01,CN,002028,2024-11-29,2024-12-13,电气机械和器材制造业,csi300-2024-11,14,-0.001394000000000094,0.015931,-0.09434200000000001,0.004541,0.017039999999999805
CN-csi300-002064-20211126-20211210-add-01,CN,002064,2021-11-26,2021-12-10,化学纤维制造业,csi300-2021-11,14,-0.08856500000000002,0.0302200000000001,-0.0399559999999997,0.020502,0.02193000000000009
CN-csi300-002074-20220527-20220610-add-01,CN,002074,2022-05-27,2022-06-10,电气机械和器材制造业,csi300-2022-05,14,0.3182149999999998,0.0455279999999999,0.1989650000000001,0.060507,-0.0488119999999998
CN-csi300-002129-20200601-20200615-add-01,CN,002129,2020-06-01,2020-06-15,电气机械和器材制造业,csi300-2020-06,14,0.09361800000000002,0.053951,0.015134999999999888,0.04004799999999989,0.175206
CN-csi300-002157-20200601-20200615-add-01,CN,002157,2020-06-01,2020-06-15,畜牧业,csi300-2020-06,14,-0.2087819999999998,0.033351,0.02913500000000031,0.023048,0.04450600000000049
CN-csi300-002371-20200601-20200615-add-01,CN,002371,2020-06-01,2020-06-15,专用设备制造业,csi300-2020-06,14,0.08251800000000059,0.0160509999999998,-0.050064999999999894,-0.05265200000000001,0.1296059999999998
CN-csi300-002384-20251128-20251212-add-02,CN,002384,2025-11-28,2025-12-12,计算机、通信和其他电子设备制造业,csi300-2025-11,14,0.07314900000000038,0.0080920000000002,0.08463300000000024,0.007621000000000197,-0.08350699999999989
CN-csi300-002422-20241129-20241213-add-01,CN,002422,2024-11-29,2024-12-13,医药制造业,csi300-2024-11,14,0.01600600000000021,0.0401309999999998,-0.11054199999999989,-0.015459000000000002,-0.07366000000000021
CN-csi300-002459-20211126-20211210-add-01,CN,002459,2021-11-26,2021-12-10,电气机械和器材制造业,csi300-2021-11,14,0.06333499999999988,-0.0223799999999999,0.03104399999999971,-0.008098000000000091,-0.028970000000000003
CN-csi300-002463-20200601-20200615-add-01,CN,002463,2020-06-01,2020-06-15,计算机、通信和其他电子设备制造业,csi300-2020-06,14,-0.09988199999999979,0.005350999999999901,-0.0025649999999998972,0.007347999999999999,-0.10389399999999982
CN-csi300-002463-20241129-20241213-add-03,CN,002463,2024-11-29,2024-12-13,计算机、通信和其他电子设备制造业,csi300-2024-11,14,-0.093994,-0.0006689999999999995,0.024358000000000008,0.046641,0.1279400000000001
CN-csi300-002466-20211126-20211210-add-01,CN,002466,2021-11-26,2021-12-10,有色金属冶炼和压延加工业,csi300-2021-11,14,0.2371350000000002,0.09162000000000001,-0.11925599999999978,0.0693019999999998,-0.16116999999999942
CN-csi300-002568-20211126-20211210-add-01,CN,002568,2021-11-26,2021-12-10,酒、饮料和精制茶制造业,csi300-2021-11,14,-0.023464999999999993,-0.010579999999999899,0.052043999999999924,0.072902,-0.1773699999999995
CN-csi300-002600-20250530-20250613-add-01,CN,002600,2025-05-30,2025-06-13,计算机、通信和其他电子设备制造业,csi300-2025-05,14,0.0639300000000002,0.005162000000000099,0.0419960000000003,-0.019767,0.04791499999999978
CN-csi300-002603-20231124-20231208-add-01,CN,002603,2023-11-24,2023-12-08,医药制造业,csi300-2023-11,14,0.08867700000000009,0.13284400000000013,0.0215520000000001,0.021853,-0.044135999999999495
CN-csi300-002625-20251128-20251212-add-01,CN,002625,2025-11-28,2025-12-12,铁路、船舶、航空航天和其他运输设备制造业,csi300-2025-11,14,0.039549000000000195,0.0993919999999999,0.05793299999999997,0.0512209999999999,-0.013306999999999687
CN-csi300-002648-20220527-20220610-add-01,CN,002648,2022-05-27,2022-06-10,化学原料和化学制品制造业,csi300-2022-05,14,0.0673150000000001,0.0431279999999999,-0.06673499999999999,-0.011693000000000101,-0.13901199999999972
CN-csi300-002709-20211126-20211210-add-01,CN,002709,2021-11-26,2021-12-10,计算机、通信和其他电子设备制造业,csi300-2021-11,14,-0.21146499999999968,0.0571199999999999,-0.1277559999999999,-0.0687979999999999,-0.1319699999999998
CN-csi300-002791-20211126-20211210-add-01,CN,002791,2021-11-26,2021-12-10,金属制品业,csi300-2021-11,14,0.16793499999999978,0.0252200000000001,0.0800440000000002,0.060601999999999996,0.0179300000000002
CN-csi300-002920-20220527-20220610-add-01,CN,002920,2022-05-27,2022-06-10,计算机、通信和其他电子设备制造业,csi300-2022-05,14,0.1330149999999998,0.0330279999999999,0.08716499999999999,0.0032069999999998974,0.005088000000000009
CN-csi300-003816-20200601-20200615-add-01,CN,003816,2020-06-01,2020-06-15,Utilities,csi300-2020-06,14,-0.0087819999999993,0.0042510000000000984,0.020435,0.006847999999999896,-0.11509399999999972
CN-csi300-300014-20200601-20200615-add-01,CN,300014,2020-06-01,2020-06-15,电气机械和器材制造业,csi300-2020-06,14,0.009618000000000007,0.044451000000000004,0.150835,0.011147999999999901,0.062106000000000085
CN-csi300-300207-20220527-20220610-add-01,CN,300207,2022-05-27,2022-06-10,Industrials,csi300-2022-05,14,0.26441500000000046,0.020228000000000003,0.08756500000000028,-0.0011930000000001002,-0.02831199999999961
CN-csi300-300223-20220527-20220610-add-01,CN,300223,2022-05-27,2022-06-10,计算机、通信和其他电子设备制造业,csi300-2022-05,14,0.1641150000000004,0.021728000000000098,-0.0835349999999999,-0.020093,-0.022311999999999412
CN-csi300-300251-20251128-20251212-add-01,CN,300251,2025-11-28,2025-12-12,广播、电视、电影和录音制作业,csi300-2025-11,14,0.02414899999999979,0.017592,-0.0586669999999998,-0.0141789999999999,0.0618930000000002
CN-csi300-300308-20231124-20231208-add-01,CN,300308,2023-11-24,2023-12-08,计算机、通信和其他电子设备制造业,csi300-2023-11,14,0.08547700000000016,0.0158440000000002,0.1998519999999999,0.1793529999999998,-0.14903599999999942
CN-csi300-300316-20211126-20211210-add-01,CN,300316,2021-11-26,2021-12-10,专用设备制造业,csi300-2021-11,14,-0.11086499999999998,0.0519200000000001,-0.003155999999999907,0.04210199999999989,-0.22596999999999987
CN-csi300-300394-20241129-20241213-add-01,CN,300394,2024-11-29,2024-12-13,计算机、通信和其他电子设备制造业,csi300-2024-11,14,-0.21869399999999992,0.0526309999999999,-0.11564199999999991,-0.027559,-0.08536000000000019
CN-csi300-300418-20240531-20240614-add-01,CN,300418,2024-05-31,2024-06-14,互联网和相关服务,csi300-2024-05,14,-0.14943,0.005153999999999799,-0.0680579999999999,-0.0228849999999999,-0.0970270000000002
CN-csi300-300442-20240531-20240614-add-01,CN,300442,2024-05-31,2024-06-14,软件和信息技术服务业,csi300-2024-05,14,-0.19743000000000038,0.06725399999999979,-0.005658000000000111,-0.034385000000000096,-0.14852700000000013
CN-csi300-300454-20220527-20220610-add-01,CN,300454,2022-05-27,2022-06-10,软件和信息技术服务业,csi300-2022-05,14,-0.08848499999999981,0.07572799999999999,0.0896650000000003,-0.0009929999999999002,-0.08501199999999981
CN-csi300-300476-20251128-20251212-add-01,CN,300476,2025-11-28,2025-12-12,计算机、通信和其他电子设备制造业,csi300-2025-11,14,-0.11245099999999969,-0.042608,0.1340330000000002,-0.0413789999999999,-0.0667069999999995
