market,dim,bucket,announce_car,effective_car,gap_drift,n_events,asymmetry_index
CN,sector,专用设备制造业,0.00623070065679287,0.005762852554161458,0.03355283946248758,7,6.210322387374788
CN,sector,互联网和相关服务,0.0051669454836222005,-0.0228564650549891,-0.0678132641973731,1,-17.21486002357604
CN,sector,农副食品加工业,0.0107172625176213,-0.0036689212673557004,-0.0178172427405236,1,-1.9862847899714355
CN,sector,化学原料和化学制品制造业,0.028933890588176667,0.009170796660334634,-0.03748861892409024,6,-0.9753368112259588
CN,sector,化学纤维制造业,-0.0038471986563161,0.0438405014388898,0.047991475294491354,2,23.2651013362189
CN,sector,医药制造业,0.0374018363254878,-0.012776062751607883,0.02780151114926065,6,0.4006590041949719
CN,sector,商务服务业,0.041548624515479096,-0.0501803440378484,-0.019645556068892997,1,-1.6765475671541072
CN,sector,土木工程建筑业,0.07932480836523985,-0.015609988303677401,0.07534090970357879,2,0.7520436325791947
CN,sector,房地产业,0.0564370520221249,-0.027722177568915804,0.009158553755407308,1,-0.3283443892023926
CN,sector,有色金属冶炼和压延加工业,0.0336657101498023,-0.0032492155622038522,-0.048669026170274826,4,-1.5376025412213243
CN,sector,有色金属矿采选业,0.019253501070936402,-0.02877133326278365,-0.021787873238974898,2,-2.612406216138561
CN,sector,橡胶和塑料制品业,0.0432606142437226,-0.0582606512022296,-0.051049151773637697,1,-2.5209468288769057
CN,sector,水上运输业,-0.0257987851329624,-0.0724955590911683,-0.03824749437864421,1,-4.2759941403145385
CN,sector,煤炭开采和洗选业,-0.006698975966512701,-0.0196596048857109,-0.012932258408356097,2,-4.793642962498051
CN,sector,电信、广播电视和卫星传输服务,-0.0038068615278932507,-0.00270107662403615,-0.044692376433623,2,-12.130824888287187
CN,sector,电力、热力生产和供应业,0.013205065848766778,-0.0008860464693489806,0.004330232069686221,5,0.258862724881326
CN,sector,电气机械和器材制造业,0.022353756047700183,0.04008075495896266,0.049321893376801845,12,3.981634437723462
CN,sector,畜牧业,0.0191588742648937,0.0191588742648937,-0.0586508249394255,1,-2.050584584090683
CN,sector,皮革、毛皮、羽毛及其制品和制鞋业,-0.019619339531703,-0.037195661426589796,-0.052380594065644694,1,-4.542558605891529
CN,sector,石油和天然气开采业,0.0155646030626366,0.005165609341547701,0.05335125393723069,1,3.735610985148645
CN,sector,研究和试验发展,0.0269851233684185,-0.0331941622544677,-0.1684000452462694,1,-7.442986497000703
CN,sector,纺织业,0.027836780066117298,-0.011042568349670198,-0.0974121212873532,1,-3.8821470971366896
CN,sector,航空运输业,0.004449714369944501,-0.0245154159146941,-0.0553673455884528,1,-17.557753082447093
CN,sector,计算机、通信和其他电子设备制造业,0.007503531037427908,-0.001695363338879304,0.0013250203082522524,27,-0.04870671649843489
CN,sector,货币金融服务,0.04247869054423562,0.00887010737811327,-0.020960861746361945,7,-0.28396256939107634
CN,sector,资本市场服务,-0.0083582739431345,0.0857689922829019,0.17239139992485938,1,30.521639987471392
CN,sector,软件和信息技术服务业,0.03289497692831241,0.02450171226208569,0.04499958989648269,7,2.106420692748857
CN,sector,通用设备制造业,-0.0498631612106851,-0.0498631612106851,0.0681685909106822,1,0.3663785328315517
CN,sector,道路运输业,0.0026556415299392004,-0.064511480109432,0.004480222026167098,1,-21.784857511778544
CN,sector,酒、饮料和精制茶制造业,-0.016231246036346673,0.0038261394721881012,0.03903256894054277,4,2.62433792971736
CN,sector,金属制品业,0.0252667322720586,0.060538494773530904,0.0798738510185436,1,5.5352949795089845
CN,sector,铁路、船舶、航空航天和其他运输设备制造业,0.028955607133580533,0.01694957316894903,0.03391417338827344,3,1.7505656076426483
CN,sector,铁路运输业,0.051001070324929496,0.051001070324929496,-0.0121500491960327,1,0.7602780310052223
CN,sector,非金属矿物制品业,0.003264266824851451,0.0185986174307309,0.011752127665431995,2,9.021503547805853
CN,sector,黑色金属冶炼和压延加工业,-0.0026312837396678,-0.0026312837396678,-0.0231707545764263,1,-9.446853851673554
US,sector,Communication Services,0.014568947387447576,-0.012027007105486114,9.57905441042967e-06,14,-0.8192426991291254
US,sector,Consumer Discretionary,0.023677310079250644,-0.005412731356363311,-0.0049918512505706305,20,-0.4375845111265777
US,sector,Consumer Staples,0.02776612799543153,0.0032283983394712666,-0.0074262297964132655,9,-0.15064279679007453
US,sector,Energy,0.025792583085991735,0.006768867328441321,0.011061144020253044,9,0.6886146233258844
US,sector,Financials,0.029606739910775646,0.003134971793869883,0.004456959546936582,24,0.25556258827487877
US,sector,Health Care,0.014605930777712788,0.0030007887281745175,-0.0010443362911465202,24,0.13303832763806087
US,sector,Industrials,0.00841064524220653,0.00121486296500989,-0.005562680633621079,36,-0.5108681592142058
US,sector,Information Technology,0.03978319782184092,-0.008746617016920085,-0.002797657859217714,42,-0.2894520877615259
US,sector,Materials,-0.0026679648188368448,0.0008691775561036273,0.00992933502050469,11,3.9012463247802667
US,sector,Real Estate,0.01727495199440334,-0.017449551787332207,-0.018215475437546914,16,-2.0526691087473052
US,sector,Unknown,0.0010795511078248328,0.00010935545559011483,-0.007899126834383333,106,-6.604013448097261
US,sector,Utilities,0.017729700625537245,0.036334782516269044,0.03857172608692643,7,4.20122077069022
