market,event_phase,window_start,window_end,car_mean,car_se,car_t,p_value,n_events
CN,announce,-1,1,0.020697963503649643,0.0031941301568047856,6.480000027411103,9.172262949164178e-11,137
CN,effective,-1,1,0.004947445255474445,0.00394261267040533,1.2548646466369244,0.20952789979757247,137
US,announce,-1,1,0.015019757103299359,0.0028449919600271284,5.279367152642546,1.2963082429706674e-07,318
US,effective,-1,1,-0.0012281436956242382,0.0022628100757911946,-0.5427515586763578,0.5873008699451827,318
CN,announce,-3,3,0.015326715328467178,0.0049428195905166835,3.1008041155038484,0.0019299591700872032,137
CN,effective,-3,3,-0.00736110948905104,0.005284180313209574,-1.393046613237154,0.16360569545368442,137
US,announce,-3,3,0.011795396678909192,0.0037423579069207394,3.1518622676617793,0.001622327783272759,318
US,effective,-3,3,-0.0006446476162486382,0.003306296930786548,-0.19497571746990083,0.8454119574411745,318
CN,announce,-5,5,0.0333668102189781,0.006071010338680634,5.496088518641768,3.8830765047848104e-08,137
CN,effective,-5,5,0.00741224087591247,0.006568189417722751,1.1285059556766497,0.25910630307265636,137
US,announce,-5,5,0.011101944195347093,0.004337895361549261,2.5592927606677174,0.01048853712650466,318
US,effective,-5,5,0.00016927102165560556,0.00412529353089838,0.04103247935880645,0.9672700028740462,318
CN,announce,-20,-1,0.02749536496350368,0.009749590220544417,2.8201559595361476,0.004800031410920891,137
CN,effective,-20,-1,0.03970621167883206,0.008390062615913619,4.732528646868547,2.217399978743373e-06,137
US,announce,-20,-1,0.026055084059745076,0.004809477845900897,5.417445488797031,6.045657308106911e-08,318
US,effective,-20,-1,0.02472030144700187,0.0052161086897247145,4.739222841674818,2.14539463128105e-06,318
CN,announce,2,20,0.00013997810218991462,0.009421572458812703,0.0148571910688839,0.9881461127277036,137
CN,effective,2,20,-0.020144386861313736,0.008853043514925392,-2.2754193885246594,0.022880783379092273,137
US,announce,2,20,-0.009883033123557898,0.004656120442978756,-2.122589663345397,0.03378825189512247,318
US,effective,2,20,-0.006922723089565025,0.004259349465472677,-1.6253005642486729,0.10409853127971402,318
CN,announce,0,60,0.01810496350364976,0.00961955062833789,1.882100755342458,0.059822336838891044,137
CN,effective,0,60,-0.011717868613138564,0.009239150349213798,-1.2682842220589787,0.2046964694946798,137
US,announce,0,60,0.002110573473325383,0.005024014918558944,0.42009697573325805,0.6744146119082872,318
US,effective,0,60,-0.007560608397116674,0.004475919725264687,-1.6891742616473246,0.09118603987385576,318
