market,announce_year,inclusion,n_events,n_tickers,n_batches
CN,2020,0,21,21,1
CN,2020,1,21,21,1
CN,2021,0,28,28,1
CN,2021,1,28,28,1
CN,2022,0,28,28,1
CN,2022,1,28,28,1
CN,2023,0,14,14,1
CN,2023,1,14,14,1
CN,2024,0,28,28,2
CN,2024,1,28,28,2
CN,2025,0,18,18,2
CN,2025,1,18,18,2
US,2010,0,12,12,9
US,2010,1,12,12,9
US,2011,0,18,18,16
US,2011,1,18,18,16
US,2012,0,19,19,17
US,2012,1,19,19,17
US,2013,0,18,18,15
US,2013,1,18,18,15
US,2014,0,14,14,12
US,2014,1,16,16,14
US,2015,0,26,26,21
US,2015,1,29,29,22
US,2016,0,28,28,24
US,2016,1,29,29,25
US,2017,0,29,29,19
US,2017,1,29,29,19
US,2018,0,23,23,18
US,2018,1,23,23,18
US,2019,0,23,23,18
US,2019,1,23,23,18
US,2020,0,15,15,10
US,2020,1,18,18,12
US,2021,0,17,17,10
US,2021,1,18,18,11
US,2022,0,15,15,12
US,2022,1,18,18,15
US,2023,0,13,13,8
US,2023,1,14,14,9
US,2024,0,13,13,6
US,2024,1,16,16,9
US,2025,0,17,17,10
US,2025,1,19,19,12
