market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[0,+5]",p0_p5,137,-0.019446598540145982,0.04723840499179166,0.004035849304306287,-0.027356863176586303,-0.01153633390370566,-4.818464980691001,3.809720290266681e-06
CN,announce,0,"[0,+20]",p0_p20,137,-0.026521686131386734,0.09589979715151764,0.008193272606988312,-0.04258050044108383,-0.010462871821689642,-3.2370076529329093,0.0015174059052240653
CN,announce,0,"[0,+60]",p0_p60,137,-0.01577208759124072,0.15853334009873093,0.01354441731167664,-0.042319145522126934,0.010774970339645494,-1.164471473988298,0.2462716139562226
CN,announce,0,"[0,+120]",p0_p120,137,0.018313036496350465,0.2521957043512277,0.02154653312557436,-0.02391816842977528,0.06054424142247621,0.849929610003665,0.39685798777953624
CN,announce,1,"[0,+5]",p0_p5,137,0.027048291970802902,0.06240306081201659,0.005331453286971108,0.016598643528339528,0.037497940413266276,5.07334314208528,1.2573861392069653e-06
CN,announce,1,"[0,+20]",p0_p20,137,0.018104963503649756,0.11259395338066941,0.00961955062833789,-0.0007493557278925068,0.036959282735192014,1.8821007553424576,0.06195910771691031
CN,announce,1,"[0,+60]",p0_p60,137,0.022772467153284823,0.17459430052275518,0.014916597764531737,-0.006464064465197379,0.052008998771767026,1.5266528944980033,0.12916966702907529
CN,announce,1,"[0,+120]",p0_p120,137,0.0013649562043796294,0.23668652149656744,0.020221494211893513,-0.03826917245093165,0.040999084859690914,0.06750026432650136,0.9462825866699707
CN,effective,0,"[0,+5]",p0_p5,137,-0.0013900510948904367,0.052221955721443156,0.0044616227771560575,-0.01013483173811631,0.007354729548335436,-0.311557288529105,0.7558540886558622
CN,effective,0,"[0,+20]",p0_p20,137,-0.009381875912408655,0.09469221870986928,0.008090102218096716,-0.02523847625987822,0.006474724435060907,-1.1596733464531974,0.248213734268119
CN,effective,0,"[0,+60]",p0_p60,137,0.03282037226277382,0.17279263361511432,0.014762670972611951,0.0038855371564543925,0.06175520736909324,2.2232001460753903,0.027852727286126932
CN,effective,0,"[0,+120]",p0_p120,137,0.02506839416058404,0.24963554376057423,0.021327803845013416,-0.016734101375642255,0.06687088969681033,1.1753856300795449,0.2418941020059072
CN,effective,1,"[0,+5]",p0_p5,137,-0.0015511751824816766,0.05667909653438716,0.004842422015662119,-0.011042322333179429,0.007939971968216077,-0.32033044155685375,0.7492094853816872
CN,effective,1,"[0,+20]",p0_p20,137,-0.011717868613138584,0.10814148226756799,0.009239150349213802,-0.029826603297597634,0.006390866071320465,-1.2682842220589805,0.2068632408421878
CN,effective,1,"[0,+60]",p0_p60,137,-0.025894328467153175,0.1625193845889264,0.013884968075096461,-0.05310886589434224,0.0013202089600358874,-1.864918113394602,0.06434794340309927
