market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value,estimation,n_obs,r_squared,adj_r_squared,covariance
CN,announce,main_car,car_m1_p1,treatment_group,0.008644001742950646,0.0022632242620588823,3.819330628369587,0.00014134844789564753,baseline_ols,1096,0.060382239468393606,0.057800871994405645,OLS
CN,effective,main_car,car_m1_p1,treatment_group,-0.0012276393308980151,0.0024172399718057863,-0.5078682072185468,0.6116483360402986,baseline_ols,1096,0.08621476509128168,0.08370436609427967,OLS
US,announce,main_car,car_m1_p1,treatment_group,0.00988891072410136,0.00302073609684776,3.2736758217378776,0.001087686629356188,baseline_ols,1394,0.03439327326855368,0.03230922997344976,OLS
US,effective,main_car,car_m1_p1,treatment_group,-0.00021491191497316676,0.002532589583123036,-0.08485856390049208,0.9323860366586966,baseline_ols,1396,0.00718084745954739,0.005041151010106715,OLS
CN,announce,main_car,car_m1_p1,treatment_group,0.008644001742950646,0.0024574657004533527,3.5174455299034295,0.0004357217673511636,hc3,1096,0.060382239468393606,0.057800871994405645,HC3
CN,effective,main_car,car_m1_p1,treatment_group,-0.0012276393308980151,0.0028005250160159662,-0.4383604230911166,0.6611250312121106,hc3,1096,0.08621476509128168,0.08370436609427967,HC3
US,announce,main_car,car_m1_p1,treatment_group,0.00988891072410136,0.004039482329802215,2.4480638648035753,0.014362619499476925,hc3,1394,0.03439327326855368,0.03230922997344976,HC3
US,effective,main_car,car_m1_p1,treatment_group,-0.00021491191497316676,0.003096800652669495,-0.06939804626684931,0.9446727840251229,hc3,1396,0.00718084745954739,0.005041151010106715,HC3
CN,announce,main_car,car_m1_p1,treatment_group,0.008644001742950646,0.0024574657004533527,3.5174455299034295,0.0004357217673511636,nonoverlap_120d,1096,0.060382239468393606,0.057800871994405645,HC3
CN,effective,main_car,car_m1_p1,treatment_group,-0.0012276393308980151,0.0028005250160159662,-0.4383604230911166,0.6611250312121106,nonoverlap_120d,1096,0.08621476509128168,0.08370436609427967,HC3
US,announce,main_car,car_m1_p1,treatment_group,0.009351569604912801,0.004131302250091522,2.2635888247357436,0.023599415821989243,nonoverlap_120d,1363,0.034010479797657145,0.0318780526007425,HC3
US,effective,main_car,car_m1_p1,treatment_group,0.0006796167655341333,0.0031315371731034437,0.2170233747730395,0.82819012859961,nonoverlap_120d,1364,0.006426471380553855,0.004234765067422708,HC3
