market,event_phase,inclusion,n_events,short_window_slug,long_window_slug,short_mean_car,long_mean_car,car_reversal,retention_ratio,retention_ratio_valid,retention_note,sample_filter
CN,announce,0,137,p0_p20,p0_p120,-0.026521686131386734,0.018313036496350465,-0.0448347226277372,-0.690492919855429,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,announce,1,137,p0_p20,p0_p120,0.018104963503649756,0.0013649562043796294,0.016740007299270127,0.07539127069239712,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,effective,0,137,p0_p20,p0_p120,-0.009381875912408655,0.02506839416058404,-0.03445027007299269,-2.67200231538216,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,effective,1,137,p0_p20,p0_p120,-0.011717868613138584,-0.013959291970802866,0.002241423357664281,1.1912825131996359,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,announce,0,293,p0_p20,p0_p120,0.009171719114196482,0.058386275000179295,-0.049214555885982815,6.365903084603394,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,announce,1,318,p0_p20,p0_p120,0.002591360480762447,0.019193985972498318,-0.01660262549173587,,False,短窗口基数过小，不适合解释保留率。,baseline
US,effective,0,293,p0_p20,p0_p120,0.01758612915892232,0.0592054481317691,-0.041619318972846785,3.3665991871628687,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,effective,1,318,p0_p20,p0_p120,-0.009282909151672203,0.0034313707933908643,-0.012714279945063068,-0.369643905517781,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,announce,0,137,p0_p20,p0_p120,-0.02627583737226265,0.017170891970803015,-0.04344672934306566,-0.6534860041769396,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,announce,1,137,p0_p20,p0_p120,0.01836030160583953,0.00017282131386866243,0.018187480291970867,0.009412770965249083,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,effective,0,137,p0_p20,p0_p120,-0.009518169927007197,0.02415595270073,-0.033674122627737196,-2.537877857400826,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,effective,1,137,p0_p20,p0_p120,-0.011729154744525454,-0.01552057343065689,0.003791418686131436,1.3232473923921133,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,announce,0,293,p0_p20,p0_p120,0.005779776906809157,0.05534468302145804,-0.049564906114648886,9.57557426762553,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,announce,1,318,p0_p20,p0_p120,0.0018739921159085077,0.017860267683791804,-0.015986275567883297,,False,短窗口基数过小，不适合解释保留率。,winsorized_1pct
US,effective,0,293,p0_p20,p0_p120,0.009770120343571949,0.056865986236473626,-0.04709586589290168,5.820397726614232,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,effective,1,318,p0_p20,p0_p120,-0.009543557570395324,0.004302292429957084,-0.013845850000352409,-0.4508059387940455,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,announce,0,137,p0_p20,p0_p120,-0.026521686131386734,0.018313036496350465,-0.0448347226277372,-0.690492919855429,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
CN,announce,1,137,p0_p20,p0_p120,0.018104963503649756,0.0013649562043796294,0.016740007299270127,0.07539127069239712,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
CN,effective,0,137,p0_p20,p0_p120,-0.009381875912408655,0.02506839416058404,-0.03445027007299269,-2.67200231538216,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
CN,effective,1,137,p0_p20,p0_p120,-0.011717868613138584,-0.013959291970802866,0.002241423357664281,1.1912825131996359,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,announce,0,287,p0_p20,p0_p120,0.010987726083590143,0.06251874215364926,-0.05153101607005912,5.689870832056801,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,announce,1,312,p0_p20,p0_p120,0.003596766635751696,0.021725945412796176,-0.01812917877704448,,False,短窗口基数过小，不适合解释保留率。,nonoverlap_120d
US,effective,0,287,p0_p20,p0_p120,0.01838104776044277,0.06248871777819265,-0.04410767001774988,3.399627626923015,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,effective,1,312,p0_p20,p0_p120,-0.009420957035329811,0.005181383384742384,-0.014602340420072194,-0.5499848227002335,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
