event_id,matched_to_event_id,market,index_name,event_ticker,event_phase,event_type,inclusion,event_date,sector,car_m1_p1,car_m3_p3,car_m5_p5,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
CN-csi300-cn01-20240203-20240212-01,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN01,announce,inclusion,1,2024-02-05,Industrials,0.003737839557583599,-0.015198586248128204,0.0909786846519477,0.017497842304837086,23.326237065341907,0.004252781870732029,0.11013492832846339,-0.004308678054208337
CN-csi300-cn01-20240203-20240212-01,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN01,effective,inclusion,1,2024-02-12,Industrials,0.06754433386454389,0.040920097246581,0.03231305304452349,0.03402752399373399,23.31144739286787,0.0023872837451891296,0.049141005626001544,0.014254247064966875
CN-csi300-cn01-20240203-20240212-01-ctrl-01,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN04,announce,inclusion,0,2024-02-05,Healthcare,-0.0395177236107541,-0.03426867984385589,-0.002266890250664306,-0.021153480054390994,23.25750741531154,-0.00015828440499305457,0.040351437011100444,-0.002755645414407778
CN-csi300-cn01-20240203-20240212-01-ctrl-01,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN04,effective,inclusion,0,2024-02-12,Healthcare,0.0161281090572414,0.0239849078846893,0.030316069234903202,0.002201040025091361,23.255884694408582,0.0010992994310597137,-0.08515454211649143,0.0016206871823006182
CN-csi300-cn01-20240203-20240212-01-ctrl-02,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN08,announce,inclusion,0,2024-02-05,Utilities,0.021201609064320802,0.0590360672997253,0.043006467833096314,0.05454702705055414,23.7912919467503,0.001327597345247504,0.08640991803383002,-0.005780136885875531
CN-csi300-cn01-20240203-20240212-01-ctrl-02,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN08,effective,inclusion,0,2024-02-12,Utilities,-0.0046344824248125,-0.0004264461019350997,0.002558600543250503,0.06438073858378712,23.79943233134611,0.0016306718467140532,0.026621474953852697,0.0032962205529899116
CN-csi300-cn01-20240203-20240212-01-ctrl-03,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN06,announce,inclusion,0,2024-02-05,Energy,-0.0026163760586765013,0.0037614961626318976,-0.0008583856533211998,0.013513423647814493,24.0740121056982,0.0009576846547997495,0.09611512892211849,-0.006696756635543576
CN-csi300-cn01-20240203-20240212-01-ctrl-03,CN-csi300-cn01-20240203-20240212-01,CN,CSI300,CN06,effective,inclusion,0,2024-02-12,Energy,-0.0253724618219962,-0.053389133347608905,-0.0454522934661378,0.035387895145275294,24.077877935628106,0.00328897811948237,0.010411280673480405,-0.006391822382798767
CN-csi300-cn02-20240309-20240318-01,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN02,announce,inclusion,1,2024-03-11,Technology,-0.0135156313664342,-0.007411542890049,0.032638659464219594,0.09717221381440488,23.647794970050438,0.0010252213131024847,0.140923942710117,0.006561308629275574
CN-csi300-cn02-20240309-20240318-01,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN02,effective,inclusion,1,2024-03-18,Technology,0.037684330204551204,-0.005791259200379598,0.024770823261186306,0.0690441179866117,23.62498859485451,0.0044934756032374325,0.09328901257056543,0.004715036804073109
CN-csi300-cn02-20240309-20240318-01-ctrl-01,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN08,announce,inclusion,0,2024-03-11,Utilities,-0.006748078321483399,-0.0024718883572751003,-0.0158389756194559,-0.06459537025498818,23.73265624712503,-0.0005244409843080215,0.0025582960471375316,0.005368191278436834
CN-csi300-cn02-20240309-20240318-01-ctrl-01,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN08,effective,inclusion,0,2024-03-18,Utilities,-0.0214532645391187,-0.0195238552594531,-0.0095376985615014,-0.0683410724487361,23.724085432537134,0.005404019802324304,0.02294019015307569,0.002615724229769252
CN-csi300-cn02-20240309-20240318-01-ctrl-02,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN04,announce,inclusion,0,2024-03-11,Healthcare,0.010445896893813901,-0.004454713324517797,-0.022087673174648,0.07372935732215335,23.32702266369462,-0.00169986821789795,-0.0033012503888052436,0.012977495011082068
CN-csi300-cn02-20240309-20240318-01-ctrl-02,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN04,effective,inclusion,0,2024-03-18,Healthcare,-0.0363752990194679,-0.0688777386086586,-0.0892711424584988,0.01491970631813122,23.294521378423017,0.000186512789442983,0.03366847171084686,-0.015481399105752289
CN-csi300-cn02-20240309-20240318-01-ctrl-03,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN06,announce,inclusion,0,2024-03-11,Energy,0.0041627275135289,-0.0409755399658476,-0.0117687185078941,-0.06408564733907529,24.011646625369465,0.0009056827760848644,-0.03646835056476405,-0.010300181966414731
CN-csi300-cn02-20240309-20240318-01-ctrl-03,CN-csi300-cn02-20240309-20240318-01,CN,CSI300,CN06,effective,inclusion,0,2024-03-18,Energy,0.0149942792010491,0.0008027613759532017,0.0245397975142694,-0.02479575750604679,24.02409428157546,0.0004492980868561515,0.010290882878702945,0.011146465088523353
CN-csi300-cn03-20240420-20240429-01,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN03,announce,inclusion,1,2024-04-22,Consumer,0.045689384852846404,0.0337286845957581,0.0454537993193478,0.16235688905441004,23.96077244477396,0.008991381480948232,0.1170319130422861,0.006715160786037606
CN-csi300-cn03-20240420-20240429-01,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN03,effective,inclusion,1,2024-04-29,Consumer,0.0238345159788877,0.0007672625042302993,0.028300610818437107,0.11989016999277924,23.935120985512942,0.0025414020854663683,0.1065805919291698,-0.004309274081006363
CN-csi300-cn03-20240420-20240429-01-ctrl-01,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN06,announce,inclusion,0,2024-04-22,Energy,-0.023989353655361898,-0.0540130763173576,-0.06465468427935919,0.043628031359264074,24.064599178410084,0.006261598666577769,-0.05659348225607275,-0.0031001763006552243
CN-csi300-cn03-20240420-20240429-01-ctrl-01,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN06,effective,inclusion,0,2024-04-29,Energy,-0.009275573748267702,-0.0371380701938982,-0.067522511713658,-0.0664557557497325,23.98668559678002,-0.0018358558428032724,-0.00033727050468357334,0.0003733412231085465
CN-csi300-cn03-20240420-20240429-01-ctrl-02,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN08,announce,inclusion,0,2024-04-22,Utilities,0.021767083125115202,0.050354668965690005,0.05185122096558441,0.0486136274938489,23.773426253879272,-0.0021677319205528726,-0.01777610137752106,-0.008228550191639462
CN-csi300-cn03-20240420-20240429-01-ctrl-02,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN08,effective,inclusion,0,2024-04-29,Utilities,0.0335609126504651,0.06111265317438932,0.0895213820458759,0.10302048815609322,23.812881785614522,-2.8785863214340207e-05,0.06688364000741487,0.0034724814208898754
CN-csi300-cn03-20240420-20240429-01-ctrl-03,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN05,announce,inclusion,0,2024-04-22,Finance,-0.0415952491014078,-0.01714838887869,-0.0417629221245195,-0.027723785187592997,24.165363302085854,-0.001445278465618538,0.01281013062738623,0.004716208227559877
CN-csi300-cn03-20240420-20240429-01-ctrl-03,CN-csi300-cn03-20240420-20240429-01,CN,CSI300,CN05,effective,inclusion,0,2024-04-29,Finance,-0.0422503645242399,-0.0709416526577857,-0.09590673201402361,-0.029798959785081514,24.143770893588766,0.0025661829496469203,-0.033825814530182186,0.002016804926472004
US-sp500-us01-20240210-20240220-01,US-sp500-us01-20240210-20240220-01,US,SP500,US01,announce,inclusion,1,2024-02-12,Industrials,0.038211403705615106,0.019366016522117904,0.023842139179604906,0.05380580649193445,23.93430603266564,-0.002370278388818741,0.1279152959168357,0.00683599554815565
US-sp500-us01-20240210-20240220-01,US-sp500-us01-20240210-20240220-01,US,SP500,US01,effective,inclusion,1,2024-02-20,Industrials,0.055165264858141404,0.045773826821788904,0.0429310289752482,0.09243489560644469,23.94071123621626,0.006722913461114897,0.03771808656926723,-0.00888140356855912
US-sp500-us01-20240210-20240220-01-ctrl-01,US-sp500-us01-20240210-20240220-01,US,SP500,US05,announce,inclusion,0,2024-02-12,Finance,0.0033807750355120993,0.0396582432054316,0.07569940928043259,0.0347153781280487,23.98505405636078,0.0034209155845797146,-0.0312278276375082,0.0041036382912153745
US-sp500-us01-20240210-20240220-01-ctrl-01,US-sp500-us01-20240210-20240220-01,US,SP500,US05,effective,inclusion,0,2024-02-20,Finance,0.0359480194237271,0.1019659966957913,0.09442270301370781,0.1666746518263571,24.05697445840897,-0.004861314321791307,0.022100583602199464,0.004879347623814397
US-sp500-us01-20240210-20240220-01-ctrl-02,US-sp500-us01-20240210-20240220-01,US,SP500,US04,announce,inclusion,0,2024-02-12,Healthcare,0.005682598077078799,0.013635071665478699,0.0005948558433663985,0.006277752957158045,23.9738487525529,-0.001180021395493152,0.0036319911495183987,-0.011609510766992326
US-sp500-us01-20240210-20240220-01-ctrl-02,US-sp500-us01-20240210-20240220-01,US,SP500,US04,effective,inclusion,0,2024-02-20,Healthcare,-0.0386711534410359,-0.087492146729059,-0.11050237435424332,-0.012718895667437335,23.95673764846966,0.000774274847977055,0.04926415366372083,0.00425441030301601
US-sp500-us01-20240210-20240220-01-ctrl-03,US-sp500-us01-20240210-20240220-01,US,SP500,US08,announce,inclusion,0,2024-02-12,Utilities,-0.005679043665924,-0.050698332907409896,-0.0607380346728007,0.076228845953352,23.999193237640878,-0.003068942173534435,-0.08300702186926046,0.004451908979987253
US-sp500-us01-20240210-20240220-01-ctrl-03,US-sp500-us01-20240210-20240220-01,US,SP500,US08,effective,inclusion,0,2024-02-20,Utilities,-0.0317623785048411,-0.08657481540171279,-0.0902179385819661,0.025413215484963336,23.966735977232634,0.0032133608866297195,0.05666143277754543,-0.002489656471774831
US-sp500-us02-20240316-20240325-01,US-sp500-us02-20240316-20240325-01,US,SP500,US02,announce,inclusion,1,2024-03-18,Technology,0.032217346506713596,0.052700327007913,0.0583792631482456,0.11525924602552373,23.167775251724,-0.00019094860373667158,0.17332248832410713,-0.009656299416709984
