market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value
CN,announce,main_car,car_m1_p1,const,-0.2029659059965506,0.0402676133331216,-5.0404255230494055,4.644978707987899e-07
CN,announce,main_car,car_m1_p1,treatment_group,0.0079330333460661,0.0026649475183714,2.976806594267893,0.0029126768961541
CN,announce,main_car,car_m1_p1,log_mkt_cap,0.0080281262065187,0.0016185289603991,4.960137509395416,7.044329638153042e-07
CN,announce,main_car,car_m1_p1,pre_event_return,0.0702346263516888,0.0107941208462052,6.506748196763098,7.6794975052853e-11
CN,announce,turnover_mechanism,turnover_change,const,0.0143358237986629,0.0040275623077776,3.559429427318585,0.0003716613876893
CN,announce,turnover_mechanism,turnover_change,treatment_group,-3.509020043175598e-05,0.0003187605095087,-0.1100832737588344,0.9123433331371068
CN,announce,turnover_mechanism,turnover_change,log_mkt_cap,-0.0005978086200323,0.0001623593151296,-3.682009988493509,0.0002314023421818
CN,announce,turnover_mechanism,turnover_change,pre_event_return,0.0047023009863933,0.0015709019331807,2.9933765355244843,0.0027590911705026
CN,announce,volume_mechanism,volume_change,const,1.8340759164147065,0.3858760198229399,4.753018643802422,2.0040186041633286e-06
CN,announce,volume_mechanism,volume_change,treatment_group,0.0212011133207627,0.0277745957444338,0.763327521157947,0.4452680929303103
CN,announce,volume_mechanism,volume_change,log_mkt_cap,-0.0752234351185169,0.0154951416106663,-4.85464650847304,1.2060167928972248e-06
CN,announce,volume_mechanism,volume_change,pre_event_return,0.3918411686588495,0.1018846020784967,3.8459311874914746,0.00012009546646
CN,announce,volatility_mechanism,volatility_change,const,0.0115981655651769,0.0134668167643512,0.8612403189355831,0.3891056981347237
CN,announce,volatility_mechanism,volatility_change,treatment_group,0.0001090616982793,0.0009397188046802,0.1160578012658586,0.9076067324575208
CN,announce,volatility_mechanism,volatility_change,log_mkt_cap,-0.0006308448927717,0.0005416155264859,-1.1647466919288758,0.2441215428001618
CN,announce,volatility_mechanism,volatility_change,pre_event_return,0.0036240461684571,0.0041484376924586,0.8735930094949363,0.3823399344901645
CN,effective,main_car,car_m1_p1,const,0.1393370267539434,0.0486773086992435,2.862463650462842,0.0042036147502922
CN,effective,main_car,car_m1_p1,treatment_group,-0.0013633625986989,0.0031976412412757,-0.4263650909615652,0.6698418345486168
CN,effective,main_car,car_m1_p1,log_mkt_cap,-0.0055372698360322,0.0019639419857605,-2.819467110627456,0.0048103460297663
CN,effective,main_car,car_m1_p1,pre_event_return,0.10855224624902,0.0134352016630609,8.079688639693174,6.493234568888386e-16
CN,effective,turnover_mechanism,turnover_change,const,0.021363367161716,0.0057463127610719,3.717752243915602,0.000201003251282
CN,effective,turnover_mechanism,turnover_change,treatment_group,0.0011253789461266,0.0004592993867193,2.4502078136112275,0.0142773786246685
CN,effective,turnover_mechanism,turnover_change,log_mkt_cap,-0.0008416313868963,0.0002312182085774,-3.639987490926527,0.0002726512861674
CN,effective,turnover_mechanism,turnover_change,pre_event_return,1.0781439339573255e-05,0.0019473081278547,0.0055365862163017,0.9955824659074952
CN,effective,volume_mechanism,volume_change,const,2.285192590310963,0.4432437132460585,5.155611962492474,2.5280393249589344e-07
CN,effective,volume_mechanism,volume_change,treatment_group,0.0480936491456078,0.0258015647720622,1.863981877474476,0.0623242493439091
CN,effective,volume_mechanism,volume_change,log_mkt_cap,-0.0900820314724462,0.0177759346867259,-5.067639652148049,4.0277898177747716e-07
CN,effective,volume_mechanism,volume_change,pre_event_return,-0.1894220425073732,0.1154055695754311,-1.641359625919646,0.1007227855776531
CN,effective,volatility_mechanism,volatility_change,const,0.0407669470742372,0.016323256044197,2.4974764203818265,0.0125080783391892
CN,effective,volatility_mechanism,volatility_change,treatment_group,-0.0021642789066294,0.0010355367126353,-2.0900069309193645,0.0366171771064966
CN,effective,volatility_mechanism,volatility_change,log_mkt_cap,-0.0015551010690803,0.000654766509218,-2.375046749012213,0.0175467276890963
CN,effective,volatility_mechanism,volatility_change,pre_event_return,0.005480934607132,0.005231705208852,1.0476382724810758,0.2948052971476209
US,announce,main_car,car_m1_p1,const,-0.1209254255489635,0.0682000711235378,-1.773098232257248,0.076212430869779
US,announce,main_car,car_m1_p1,treatment_group,0.0106152765702307,0.0039585033673686,2.6816388885093043,0.0073262495724234
US,announce,main_car,car_m1_p1,log_mkt_cap,0.0053065819683382,0.0029463242213395,1.801085545814633,0.0716893975867704
US,announce,main_car,car_m1_p1,pre_event_return,0.0615252644823171,0.0346761711725596,1.7742807928865003,0.0760167159870814
US,announce,turnover_mechanism,turnover_change,const,0.0559222479048216,0.0211663163536008,2.642039690354908,0.00824083980546
US,announce,turnover_mechanism,turnover_change,treatment_group,0.027719659452951,0.0015975104891267,17.35178556987364,1.9120750006931745e-67
US,announce,turnover_mechanism,turnover_change,log_mkt_cap,-0.002419868389543,0.0009133478395651,-2.649448856960261,0.0080623173787097
US,announce,turnover_mechanism,turnover_change,pre_event_return,0.0055033470150604,0.0052061675055295,1.0570822028325415,0.2904740728226185
US,announce,volume_mechanism,volume_change,const,-1.055379740266679,0.8743634637786012,-1.2070263500098777,0.2274219963756348
US,announce,volume_mechanism,volume_change,treatment_group,1.235103387000426,0.0691231952318502,17.86814661645329,2.0881758873936508e-71
US,announce,volume_mechanism,volume_change,log_mkt_cap,0.0454295074311466,0.0377848633455411,1.2023202787765983,0.229239463048457
US,announce,volume_mechanism,volume_change,pre_event_return,0.0523235837083112,0.1762390652037742,0.2968898163855596,0.7665506311847645
