market,event_phase,specification,dependent_variable,parameter,coefficient,std_error,t_stat,p_value,estimation,n_obs,r_squared,adj_r_squared,covariance
CN,announce,main_car,car_m1_p1,treatment_group,0.007933033346066065,0.002473159503743594,3.2076513197219674,0.001383872516706818,baseline_ols,936,0.07959451024068398,0.07663183162557885,OLS
CN,effective,main_car,car_m1_p1,treatment_group,-0.0013633625986989887,0.002708300681922071,-0.5034014900189795,0.6148009764611535,baseline_ols,936,0.08687195846207696,0.08393270510948703,OLS
US,announce,main_car,car_m1_p1,treatment_group,0.010615276570230698,0.0029871991592085897,3.553588496939402,0.0003927696098962041,baseline_ols,1390,0.040349068350555295,0.03827190183183349,OLS
US,effective,main_car,car_m1_p1,treatment_group,-0.0004815161201558939,0.0025339784076338235,-0.19002376606891597,0.8493182929927593,baseline_ols,1392,0.0029997681416525923,0.0008448685050710392,OLS
CN,announce,main_car,car_m1_p1,treatment_group,0.007933033346066065,0.0026781308230587053,2.96215303515521,0.0030549590284990173,hc3,936,0.07959451024068398,0.07663183162557885,HC3
CN,effective,main_car,car_m1_p1,treatment_group,-0.0013633625986989887,0.0032137047422234884,-0.4242339318812809,0.6713952168073269,hc3,936,0.08687195846207696,0.08393270510948703,HC3
US,announce,main_car,car_m1_p1,treatment_group,0.010615276570230698,0.004027883453903461,2.635447795775553,0.008402634991556494,hc3,1390,0.040349068350555295,0.03827190183183349,HC3
US,effective,main_car,car_m1_p1,treatment_group,-0.0004815161201558939,0.0031047051079894075,-0.15509238507605685,0.87674848537702,hc3,1392,0.0029997681416525923,0.0008448685050710392,HC3
CN,announce,main_car,car_m1_p1,treatment_group,0.007933033346066065,0.0026781308230587053,2.96215303515521,0.0030549590284990173,nonoverlap_120d,936,0.07959451024068398,0.07663183162557885,HC3
CN,effective,main_car,car_m1_p1,treatment_group,-0.0013633625986989887,0.0032137047422234884,-0.4242339318812809,0.6713952168073269,nonoverlap_120d,936,0.08687195846207696,0.08393270510948703,HC3
US,announce,main_car,car_m1_p1,treatment_group,0.010246053743484897,0.004118825685486552,2.4876152879178095,0.012860276384422125,nonoverlap_120d,1359,0.03979971844345165,0.03767381376103862,HC3
US,effective,main_car,car_m1_p1,treatment_group,0.0005590321114191145,0.0031382589782183,0.17813447369996746,0.8586173688817573,nonoverlap_120d,1360,0.0027762598910793246,0.0005700126784489168,HC3
