market,event_phase,inclusion,n_events,short_window_slug,long_window_slug,short_mean_car,long_mean_car,car_reversal,retention_ratio,retention_ratio_valid,retention_note,sample_filter
CN,announce,0,121,p0_p20,p0_p120,-0.004700323066425424,0.08534466006393245,-0.09004498313035787,,False,短窗口基数过小，不适合解释保留率。,baseline
CN,announce,1,118,p0_p20,p0_p120,0.018379990472335222,0.015629484878666514,0.0027505055936687083,0.8503532633594858,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,effective,0,121,p0_p20,p0_p120,0.009033078366256608,0.09369297202460447,-0.08465989365834786,10.372208479292947,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,effective,1,118,p0_p20,p0_p120,-0.013719403116178744,-0.001820818256301179,-0.011898584859877565,0.13271847476760565,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,announce,0,293,p0_p20,p0_p120,0.008410276341566455,0.054277104986383023,-0.04586682864481657,6.453664871643641,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,announce,1,318,p0_p20,p0_p120,0.00263297108166114,0.019609251516672793,-0.01697628043501165,,False,短窗口基数过小，不适合解释保留率。,baseline
US,effective,0,293,p0_p20,p0_p120,0.015585619859882452,0.05651736353011216,-0.040931743670229705,3.626250610384027,True,短窗口基数充足，可用于解释长期保留率。,baseline
US,effective,1,318,p0_p20,p0_p120,-0.009121830937935324,0.0040724897524518295,-0.013194320690387153,-0.4464552983015069,True,短窗口基数充足，可用于解释长期保留率。,baseline
CN,announce,0,121,p0_p20,p0_p120,-0.004884106190555069,0.0857924031930115,-0.09067650938356657,,False,短窗口基数过小，不适合解释保留率。,winsorized_1pct
CN,announce,1,118,p0_p20,p0_p120,0.01873020803100533,0.01465183433040847,0.004078373700596858,0.7822568925104483,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,effective,0,121,p0_p20,p0_p120,0.009390259492155975,0.09298531703312088,-0.0835950575409649,9.902316023406476,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,effective,1,118,p0_p20,p0_p120,-0.013696050050183019,-0.002543659699349276,-0.011152390350833742,0.18572213813684813,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,announce,0,293,p0_p20,p0_p120,0.005018333434790825,0.05123551309746539,-0.046217179662674565,10.209666966778784,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,announce,1,318,p0_p20,p0_p120,0.0019114992557012487,0.01826315251139126,-0.01635165325569001,,False,短窗口基数过小，不适合解释保留率。,winsorized_1pct
US,effective,0,293,p0_p20,p0_p120,0.007769605676350399,0.05417790429288659,-0.04640829861653619,6.973057134391853,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
US,effective,1,318,p0_p20,p0_p120,-0.009380733777646814,0.0049346427047334915,-0.014315376482380305,-0.5260401607912768,True,短窗口基数充足，可用于解释长期保留率。,winsorized_1pct
CN,announce,0,121,p0_p20,p0_p120,-0.004700323066425424,0.08534466006393245,-0.09004498313035787,,False,短窗口基数过小，不适合解释保留率。,nonoverlap_120d
CN,announce,1,118,p0_p20,p0_p120,0.018379990472335222,0.015629484878666514,0.0027505055936687083,0.8503532633594858,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
CN,effective,0,121,p0_p20,p0_p120,0.009033078366256608,0.09369297202460447,-0.08465989365834786,10.372208479292947,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
CN,effective,1,118,p0_p20,p0_p120,-0.013719403116178744,-0.001820818256301179,-0.011898584859877565,0.13271847476760565,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,announce,0,287,p0_p20,p0_p120,0.01024114537760438,0.0582562721283674,-0.04801512675076302,5.688452802922203,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,announce,1,312,p0_p20,p0_p120,0.0037459824858478534,0.022276183086191045,-0.018530200600343192,,False,短窗口基数过小，不适合解释保留率。,nonoverlap_120d
US,effective,0,287,p0_p20,p0_p120,0.01633711569861982,0.0597311810256492,-0.04339406532702938,3.656164412834229,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
US,effective,1,312,p0_p20,p0_p120,-0.009154434425234576,0.0059588465701679244,-0.0151132809954025,-0.6509246004037255,True,短窗口基数充足，可用于解释长期保留率。,nonoverlap_120d
